English,Punjabi
abiogenesis,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
abnormal,ਅਲੌਕਿਕ
abomasum,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
aborted organ,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
aborted seed,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
abortion,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
absolute weed,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
absorbed cation,ਲੀਨ cation
absorption,ਸਮਾਈ
abyssinian mustard,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
acaricide,1. ਐਕਰੀਸਾਈਡ
accentric,centripetal
accentuate (cell),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
accepted tolerance,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
accessory,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
acclimatization,ਅਨੁਕੂਲਨ
accumulation,ਇਕੱਠਾ ਕਰਨਾ
accuracy,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
acervulus,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
acetification,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
acidification,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
acidimeter,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
acidity,ਐਸਿਡਿਟੀ
acidophilic,ਐਸਿਡੋਫਾਈਲ
acidulated rock phosphate,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
aciduric,ਤੇਜ਼ਾਬ
acquifer,aquifer
acquisition,ਪ੍ਰਾਪਤੀ
acre,ਏਕੜ
acreage,1. ਖੇਤਰ 2. ਖੇਤਰ
acrocentric chromosome,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
acropetal,ਅਗਾਂਹਵਧੂ
acrosome,acrosome
actinomycetes,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
active root zone,ਸਰਗਰਮ ਕੋਰ
acute,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
adaptability,ਅਨੁਕੂਲਤਾ
adaptation,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
adhesion,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
adipose,sebaceous
adjustment equation,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
adobe soil,ਅਡੋਬ ਮਿੱਟੀ
adulterant,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
adventitious,ਐਕਟੋਪਿਕ
aecidiospore,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
aeolian process,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
aeolian,ਵੈਂਟ੍ਰਲ
aerate,ਹਵਾ ਦੇਣ ਲਈ
aerial,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
aerometer,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
aerosol,ਐਰੋਸੋਲ
aestivation,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
aetiology (etiology),ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
afforestation,ਜੰਗਲਾਤ
agitation,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
agmark,ਐਗਮਾਰਕ
agrarian,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
agricultural clinic,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
agricultural labour,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
agricultural marketing,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
agricultural technology,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
agriculture,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
agrisilviculture,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
agrobiodiversity,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
agrobiological defects,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
agrobiology,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
agroclimatic diversity,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
agroclimatic zoning,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
agroforestry,ਖੇਤੀ ਜੰਗਲਾਤ
agrology,ਖੇਤੀ ਵਿਗਿਆਨ
agronomy,ਖੇਤੀ ਵਿਗਿਆਨਕ
agropastoral,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
agroprocessing,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
agrostology,ਘਾਹ ਵਿਗਿਆਨ
agrotype,ਫਸਲ ਦੀ ਕਿਸਮ
air plant,epiphyte
akiochi soil,aikiochi ਮਿੱਟੀ
albinism,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
alfisols,alfisol
algae,ਐਲਗੀ
algal disease,ਐਲਗੀ ਰੋਗ
alkali water,ਖਾਰੀ ਪਾਣੀ
alkaline,ਖਾਰੀ
allele,ਵਿਕਲਪਕ
allelochemicals,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
allelomorph,ਐਲੀਲ
allelopathy,ਐਲੇਲੋਪੈਥੀ
alley cropping,ਵੇਥੀ ਦੀ ਫਸਲ
allocarpy,ਸੰਪੂਰਨਤਾ
allogamy,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
allometry,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
allopolyploid,multiploidy
allosynapsis (allosyndesis),1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
alternate bearing,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
alternate land use,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
ambient,ਵਾਤਾਵਰਣ
ameliorant,ਸੁਧਾਰਕ
amitosis,ਮਾਈਟੋਸਿਸ
amminization,ਆਮੀਨ
ammonification,ਐਮੋਨੀਅਨ
ammonifier,amniferous
amorph,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
amphimixis,amphibian ਮਿਸ਼ਰਣ
amphoteric,ਐਮਫੋਟੇਰਿਕ
anabolism,ਭੰਡਾਰ
anaerobe,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
aneuploid,ਹੈਪਲੋਇਡ
angle planting,ਕੋਣੀ ਲਾਉਣਾ
animal husbandry,ਪਸ਼ੂ ਪਾਲਣ
animal refuse,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
animate energy,ਜੀਵਤ ਊਰਜਾ
anisoploid,ਅਸਧਾਰਨ
annual plant,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
annual,ਸਾਲਾਨਾ
anthesis,1. ਅਨੰਦ 2. ਚਮਕ
anthrax,ਐਂਥ੍ਰੈਕਸ
anthropogenic factor,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
antibiosis,ਬਚਾਅ
antibiotic,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
antidote,ਘਿਣਾਉਣੀ
antioxidants,ਐਂਟੀਆਕਸੀਡੈਂਟ
antitoxin,ਐਂਟੀਟੌਕਸਿਨ
anulus,ਰਿੰਗ ਉਂਗਲ
aphid,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
apical bud,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
apical dominance,ਸਿਖਰ ਪ੍ਰਭਾਵ
apiculture (bee keeping),ਮਧੂ ਮੱਖੀ ਪਾਲਣ
apomixis,ਅਲੌਕਿਕਤਾ
apoptosis,apoptosis
appendage,ਜੋੜ
appetizer,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
applied,ਲਾਗੂ ਕੀਤਾ
aquatic weed,ਜਲਜੀ ਬੂਟੀ
arboreal,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
arborization,ਬ੍ਰਾਂਚਿੰਗ
archaeo-botanical records,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
area statistics,ਜ਼ੋਨ ਨੰਬਰ
area,1. ਖੇਤਰ 2. ਖੇਤਰ
arid ecosystem,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
aril,cotyledon
aroma,ਸੌਰਭ
aromatic plant,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
aromatic rice,ਸੁਗੰਧਿਤ ਚੌਲ
arrowing,ਇਕੁ ਪੁਸ਼ਪੰ ॥
asepsis,ਅਸੈਪਟਿਕ
aseptic,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
asexual propagation,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
assay,ਆਕਾਰ
assets,ਸੰਪਤੀ
assimilation,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
association,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
astringent,1. ਕਾਲਮ 2. astringency
asynapsis,heterozygosity
atavism,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
atomizer,ਕਣ
atrophy,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
autogamy,ਸਵੈ ਜੋੜਾ
autolysis,autolysis
autooxidation,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
autopolyploid,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
auxins,auxin
awn (bristle),1. ਹਿਲਾ 2. ਟੌਡ
baccilovirus,ਸਜ਼ਾ ਵਾਇਰਸ
bacillus,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
bacteria,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
bacteriotoxin,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
bagasse,ਬੈਗਾਸ
balance sheet,ਸੰਤੁਲਨ ਸ਼ੀਟ
balanced fertilization,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
bar diagram,ਬਾਰ ਗ੍ਰਾਫ
bark,ਸੱਕ
barometer,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
barren,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
base,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
basin,1. ਤਾਲਾ 2. ਬੇਸਿਨ
basipetal,ਤਾਲਾਬੀਸਰੀ
basisternum,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
bay monsoon,ਖਾੜੀ ਮਾਨਸੂਨ
bearing plant,ਫਲ ਪੌਦਾ
bed,ਬਿਸਤਰਾ
bedder,ਬੈੱਡ ਪੌਦਾ
bedding,ਬਿਸਤਰਾ
beet molasses,ਚੁਕੰਦਰ ਗੁੜ
bellows,ਘੰਟੀ
belt,1. ਪੱਟੀ 2. ਭੂਮੀ
benefit-cost analysis,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
biased (sampling),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
biennial,ਦੋ-ਸਾਲਾ ਪੌਦੇ
binomial,ਬਾਇਨੋਮੀਅਲ
bioagent,ਬਾਇਓਫੈਕਟਰ
bioclimate,ਜੈਵਿਕ ਜਲਵਾਯੂ
bioenergy,ਬਾਇਓ ਊਰਜਾ
bionomics,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
bio-reactor,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
biosphere,ਜੀਵ-ਮੰਡਲ
biotic,ਬਾਇਓਟਿਕ
biotype,ਜੀਵ-ਜੰਤੂ
bisexual,ਡਿਵਿਲਿੰਗੀ
blanching,ਧਵਲਨ
blast,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
blend,ਮਿਲਾਉਣਾ
blight,1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
blister,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
blue revolution,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
bottom heat chamber,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
bottom heat technique,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
bran,ਬਰੈਨ
branching,ਬ੍ਰਾਂਚਿੰਗ
branchlet,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
breed,ਨਸਲ
breeding,ਪ੍ਰਜਨਨ
brimming,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
brood,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
budding,ਉਭਰਦਾ
budget,ਬਜਟ
buffer,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
bulb,ਮਿਠਾ ਆਲੂ
bunt,ਬੰਟ (ਰੋਗ)
by-product,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c moisture characteristic curve,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
cake,ਤੇਲ ਕੇਕ
calcarious,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
calcification,ਕੈਲਸੀਓਨ
calcination of phosphate,ਫਾਸਫੇਟ ਹਟਾਉਣ
callosity,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
callus,1. ਕੈਲਸ 2. ਕਿਰਨ
calyx,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
calyx-end,ਬਾਹਰੀ ਅੰਤ
cambium,ਏਡਾ
canker,ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
canning,ਕੈਨਿੰਗ
canopy,ਅਸਮਾਨ
capital,ਵਿੱਤ
caprification,ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
capsule,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
carbonated,ਕਾਰਬਨਾਈਜ਼ਡ
carbonization,ਕਾਰਬਨਾਨ
carpel,carapace
carpus,ਬਰੇਸਲੈੱਟ
casting,1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
catabolism,catabolism
catalysis,ਪ੍ਰੇਰਣਾ
caterpillar,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
C-DNA Library,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
ceiling,ਸੀਮਾ
cell,1. ਸੈੱਲ 2. ਸੈੱਲ
central leader system,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
centric,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
centrifugation,centrifugation
centrifuge,ਸੈਂਟਰਿਫਿਊਜ
centriole,ਸਟਾਰ ਸੈਂਟਰ
centrogenic,epigenetic
centrogenous,ਕੇਂਦਰਜਾ
cercus,ਲੂਮ
cereal,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
certification,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
certified seed,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
chaff,1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ
chalaza,1. ਨਿਭਾਗ 2. ਕੈਲਜਾ
chemotropism,ਕਾਇਮੋਗ੍ਰਾਫੀ
chiasma,1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ
chilling hours,ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ
chilling injury,ਠੰਡ ਦਾ ਨੁਕਸਾਨ
chimera,1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ
chloranthy,ਹਰਾ ਦਲੀਆ
chlorophyll,1. ਪੱਤੇ 2. ਹਰੇ
chlorosis,ਸਾਇਨੋਸਿਸ
chorology,ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ
chromatid,1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼
chromatin,chromatin
chromatography,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
chromatolysis,chromatinlation
chromocentre,ਅਟਲ ਬਿੰਦੂ
chromogenesis,chromatogenesis
chromoprotein,1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ
chromosome,1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼
chronic,1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ
citrange,citrange
cladode,ਪਤਝੜ ਤਿਉਹਾਰ
classification,ਵਰਗੀਕਰਨ
clay,1. ਮਿੱਟੀ 2. ਮਿੱਟੀ
cleaning,1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ
cleistogamy,ਲਗਾਤਾਰ ਪਰਾਗਣ
climacteric fruit,cruciferous ਫਲ
climate,ਜਲਵਾਯੂ
climatology,ਜਲਵਾਯੂ ਵਿਗਿਆਨ
clipper,ਕੱਟਣਾ
clod,ਗੰਢ (ਮਿੱਟੀ)
clone,ਕਲੋਨ
cloud,1. ਬੱਦਲ 2. ਬੱਦਲ
clump,ਝੁੰਡ
cluster,ਝੁੰਡ
coarse,1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ
coat (seed),1. ਕਵਰ 2. ਚਮੜਾ
cocoon,ਕੋਯਾ
coenzyme,1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ
cohesion,ਤਾਲਮੇਲ
coir,1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ
coleorrhiza,ਮੁਲੰਕੁਰ ਚੋਲਾ
collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा,
colloid (soil),ਕੋਲਾਇਡ (ਮਿੱਟੀ)
columella,1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ
column,1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ
commensalism,ਸਾਂਝ
commercial bank,ਵਪਾਰਕ ਬੈਂਕ
commodity,1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ
community,ਭਾਈਚਾਰਾ
compaction (of soil),ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ)
compatibility,1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ
compatibility,ਅਨੁਕੂਲਤਾ
compensation,1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ
competitive interaction,ਪ੍ਰਤੀਯੋਗੀ ਪਰਸਪਰ ਪ੍ਰਭਾਵ
complementary crop,ਪੂਰਕ ਫਸਲ
complex,1. ਸੰਯੁਕਤ 2. ਗੁੰਝਲਦਾਰ
component,ਸੰਵਿਧਾਨਕ
composition,ਰਚਨਾ
compost,ਖਾਦ
compound interest,ਮਿਸ਼ਰਿਤ ਵਿਆਜ
computation,ਗਣਨਾ
computer,1. ਕੰਪਿਊਟਰ 2. ਕੰਪਿਊਟਰ
concentration,1. ਇਕਾਗਰਤਾ 2. ਇਕਾਗਰਤਾ
conditioner,1. ਆਪਟੀਮਾਈਜ਼ਰ 2. ਰੀਵਾਈਟਲਾਈਜ਼ਰ
conductance,ਚਾਲਕਤਾ
configuration,1. ਸੰਰਚਨਾ 2. ਸੰਰਚਨਾ
conformity,1. ਅਨੁਕੂਲਤਾ 2. ਸੰਰਚਨਾ 3. ਅਨੁਕੂਲਤਾ
confounding,1. ਏਕੀਕਰਣ 2. ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ
conjugation,ਸੰਜੋਗ
