Bengali,Hindi
ওয়েস্টমিনস্টারের অ্যাবে,वैस्‍टम‍िन्‍स्‍टर मठ
বর্জনীয়,मालखाना
দাসত্বের সমাপ্তি,दासता का उन्मूलन
আদিবাসী,आदिवासी
আব্রাহাম যুগ,अब्राहम काल
অনুপস্থিত জমির মালিক,प्रवासी ज़मींदार
একাডেমী,अकादमी; विद्वत्परिषद
আকরা সম্মেলন,अक्रा सम्मेलन
সঞ্চয়,"प्रोद्भूत सामग्री, उपचित सामग्री"
সংগ্রহ,"परसंस्कृति-ग्रहण, उत्संस्करण"
অ্যাসেলডামা,एसेलडामा
আচিয়ান (=আচিয়ান),एकियायी
আচিয়ান লীগ (=আচিয়ান লীগ),एकीयायी लीग
অ্যাক্রোপলিস,एक्रोपोलिस
Acta Diurna,"शाही रोज़नामचा, दैनिक समाचार"
Acta Senatus,सीनेट का कार्यवृत्त
অ্যাক্ট অ্যাডিশনেল,"अपर प्रपत्र, एक्टे एडिशनेल"
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),सक्रिय रिकार्ड
প্রাপ্তির কাজ,अपकीर्त्ति अधिनियम
ক্ষতিপূরণ এবং বিস্মৃতির আইন,दंड विमुक्ति एवं विस्मरण अधिनियम
নিষ্পত্তির আইন,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
বিজ্ঞাপন চুক্তি সীল,संविदा मुद्रा
আদুল্লামাইটস,आडुलम गुटवादी
প্রতিপক্ষ,विपक्षी
প্রতিপক্ষ,2. शत्रु
Aeon,युग
এরারিয়াম,इरेरियम
বায়বীয় যুদ্ধ,"आकाशी युद्ध, हवाई लड़ाई"
এটোলিয়ান লীগ,"एटोलियन लीग, एटोलियायी संघ"
বয়স,"काल, युग"
বার্ধক্য (=বার্ধক্য),"काल-प्रभावन, जीर्णन"
বার্ধক্য প্রক্রিয়া,जीर्णन-प्रक्रिया
এগেলাই,एजिलायी
বীরত্বের বয়স,शौर्य युग
এনলাইটমেন্টের বয়স,"प्रबोध युग, ज्ञानोदय युग"
পেরিক্লেসের বয়স,पेरीक्लीज़ युग
কারণ বয়স,तर्क प्रधान युग
কৃষিবাদ,भूमि सुधारवाद
কৃষি আন্দোলন,भूमि सुधारवादी आंदोलन
অ্যালবিয়ন,एलबियन
অ্যালবাম,अलबम
অল্ডারম্যান,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
লোভনীয় অস্ত্র,कुलांकित आयुध
বন্ধুত্ব,मैत्री
অ্যাম্ফিক্টোনিক কাউন্সিল,एम्फिकटिआनी परिषद
Amphictyonic লীগ,ऊपर देo : Amphictyonic Council
অ্যাম্ফিথিয়েটার,"रंगवाट, रंगभूमि, अखाड़ा"
আমরি নল দল (মৃৎপাত্রের),(मृद्भांडों का) अमरीनाल वर्ग
অ্যানাক্রোনিজম,"काल-वैषम्य, काल-दोष"
অ্যানাক্রোনিস্টিক,काल-वैषम्ययुक्त
পূর্বপুরুষ,पूर्वज
পূর্ব পুরুষের পুজা,पितृ-पूजा
বংশ,कुल-परंपरा
বংশ,2. वंश
বংশ,3. वंश-क्रम
বংশ,4. उच्च कुल
প্রাচীন শাসন,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
প্রাচীন,"पुरातन, प्राचीन"
প্রাচীন গীতিনাট্য,प्राचीन गाथा
প্রাচীন বিশ্বাস,प्राचीन मत
প্রাচীন রীতি,प्राचीन प्रथा
প্রাচীন ইতিহাস,प्राचीन हतिहास
প্রাচীন স্মৃতিস্তম্ভ,प्राचीन स्मारक
উপাখ্যান,उपाख्यान
অ্যাঞ্জেলট,एन्जिलोट
এঞ্জেলাস,देवदूत पूजा
অ্যাঞ্জেভিন (=এনজেভিন),आन्जवै
কোণ,ऐन्गल्स
অ্যাংলিকান,आंग्लिक
অ্যাংলিকান কমিউনিয়ন,आंग्ल चर्च
অ্যাংলিকানিজম,आंग्ल चर्चवाद
অ্যাংলো-ফোব,आंग्ल विरोधी
অ্যাংলো-ফোবিয়া,आंग्ल-दुर्भीति
অ্যাংলো-স্যাক্সন,आंग्ल सैक्सन
অ্যাংলো-স্যাক্সোনিজম,आंग्ल-सैक्सनवाद
অ্যানালিস্ট,"आख्यान-लेखक, आख्यानकार"
ইতিহাস,"वर्षवृत्त, आख्यान, ख्यात"
সংযোজন,"अधिनहन, मिला देना"
এন্টে-বেলাম,युद्ध पूर्व (स्थिति)
তারিখের আগে,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
করণিকবাদ বিরোধী,पादरी प्रथा विरोधी
অ্যান্টি-ক্লারিক্যাল আইন,पादरी प्रथा विरोधी विधान
প্রাচীনত্ব,"पुरावशेष, पुरावस्तु"
ভাড়া বিরোধী,लगान-विरोधी
ভাড়া বিরোধী,2. एन्टी रैन्ट पार्टी
সেমিটিজম বিরোধী,"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद"
আনজাক,ऐन्ज़ेक
আপেলা,नागरिक सभा
আরালু,अरालू
আর্চ বিশপ,आर्च बिशप
আর্চ ডুচি,आर्च डची
আর্চ ডিউক,आर्च ड्यूक
আর্কিফ (= আর্কাইভাল সংগ্রহ),पुरालेख संग्रह
আর্কিপিস্কোপেট,महाधर्माध्यक्ष का पद
আভিজাত্য,अभिजाततंत्र
অভিজাত,अभिजात
আভিজাত্য স্নোবারি,अभिजातीय दंभ
এরিস্টটলীয়,अरस्तूवादी
আরমাডা,आर्मेडा
আরমাদা (=স্প্যানিশ আরমাদা),स्पेन का आर्मेडा
আর্মোরিস্ট (= আর্মারিস্ট),कवच-विशारद
বর্ম (= বর্ম),"कवच, बख्तर, वर्म"
আর্মারিস্ট,अo देo armorist
আরিয়ান,आर्य
আরিয়ান,2. कुलीन
আসকারী,अस्कारी
বরাদ্দ,"आसिग्ना, भू-प्रतिभृत मुद्रा"
সহায়তা,अभिसत्र
সহায়তা,2. विधिपृच्छा
সহায়তা,3. अभिसत्राधिनियम
অস্ত্র আইনের সহায়তা,आयुध अभिसत्राधिनियम
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,डारेन उपस्थापन अभिसत्राधिनियम
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,मृत पूर्वज अभिसत्राधिनियम
নভেল ডিসিসিনের অ্যাসাইজ,अभिनव अधिधारणोत्सादन अभिसत्राधिनियम
নৃশংসতা,नृशंसता
আক্রমণ,आक्रमण
অলিক কাউন্সিল,"सर्वोच्च न्यायालय, ऑलिक काउन्सिल"
দেবীর কুঠার (=দেহী কুঠার),गेडिस समाधान
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),धुरी राष्ट्र
ব্যাবিলন,"बाबुल, बेबीलोन"
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),बेबीलोनी बंदीकरण
বাচনাল ভক্ত,बाखुसी उपासक
বাচনালিয়া,मद्यपानोत्सव
ব্যাচেলর,युवा योद्धा
বাগদাদ চুক্তি,"बगदाद अनुबंध, बगदाद पैक्ट"
বলকান লীগ,बाल्कन लीग
বলকান চুক্তি,बाल्कन अनुबंध
বলকান যুদ্ধ,बाल्कन युद्ध
বাল্টিক চুক্তি,बाल्टिक अनुबंध
দস্যু,दस्यु
বান্দুং সম্মেলন,बांडुंग सम्मेलन
নির্বাসন,"निर्वासन, देश-निकाला"
ব্যানার,"पताका, ध्वजा"
অসভ্য,बर्बर
বারবিকান,कोट-घूँघट
বারদোলী সত্যাগ্রহ,बारदोली सत्याग्रह
শস্যাগার বার্নার্স,बार्न बर्नस
ব্যারন,"बैरन, सामंत"
ব্যারোনেজ,बैरोनेज
ব্যারনস মেজরস,महासामंत
ব্যারোনস মাইনরস,लघु सामंत
ব্যারনেস,सामंत पत्नी
ব্যারোনেট,उपसामंत
ব্যারোনেটেজ,उपसामंत वर्ग
ব্যারোনেটেজ,2. बैरोनेट वंशावली
ব্যারোনেটসি,उपसामंत
ব্যারনি,बैरोनी
ব্যারাকুন,दास बंदीगृह
ব্যারাকুন,2. दास-गृह
ব্যারিকেড (=ব্যারিকেড),अवरोध
ব্যারিকেড (=ব্যারিকেড),2. घिराव
ব্যারিকেড (=ব্যারিকেড),3. मोचबिंदी
সেনাঘাঁটি,आधार शिबिर
ব্যাসিলিকা,वैसिलिका
ব্যাসিলিকা,2. सभा भवन
বাস্তিলা,बैस्टील
বাস্তিল,बैस्टील
বাস্তিল,2. कारागार
ব্যাটারি,तोपखाना
যুদ্ধ,"रण, समर, युद्ध"
ব্যাটলে-অ্যারে,रण-व्यूह
যুদ্ধ কান্না,युद्ध-घोष
যুদ্ধ দিন,युद्ध कोलाहल
যুদ্ধক্ষেত্র,"रण भूमि, रण क्षेत्र, समरांगण"
যুদ্ধের স্তব,युद्ध-गान
স্পার্সের যুদ্ধ,एड़-युद्ध
স্ট্যান্ডার্ড যুদ্ধ,ध्वज-संग्राम
যুদ্ধজাহাজ,"रणपोत, जंगी जहाज़, संगरपोत"
যুদ্ধজাহাজ-শক্তি,"संगरपोत शक्ति, रणपोत-शक्ति"
Bayeux ট্যাপেস্ট্রি,बेयू चित्रपट
বীকন,संकेत प्रकाश
বীকন টাওয়ার,प्रकाश स्तंभ
বিভার,मुखरक्षी
বিভার,2. बीवर सिक्का
সমুদ্রের ভিক্ষুক,समुद्री बैगर
বেলিকোস,युयुत्यु
বেলিকোস,2. लड़ाकू
বেলিকোস,3. युद्धप्रिय
বেলিকোসিটি,"युयुत्सा, युद्धप्रियता, लड़ाकूपन"
বেলোনা,बेलोना
উপকারিতা,"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति"
যাজকদের সুবিধা,पादरी-सुविधा
বেনেলাক্স,बेनीलक्स
বার্লিন ডিক্রি,"बर्लिन डिकी, बर्लिन निषेध"
বেসার,"जुझारू योद्धा, नार्सी योद्धा"
বেসান্ট (=বেজেন্ট),बजांत
বেথেল,बैथेल
বিবিলিওলেটর,ग्रंथ-पूजक
বিবিলিওলাট্রি,ग्रंथपूजन
বিগ বার্থা,बिग बर्था
বিগট,धर्मांध
বিলেটিং,वासादेश
অ্যাটেন্ডারের বিল,बिल ऑफ अटेन्डर
অধিকার বিল,अधिकार-पत्र
জীবনীকার,"जीवनीकार, चरित लेखक"
জন্মের গল্প,जातक कथाएँ
বিভাক,पड़ाव
বিভাক,2. रण-शिविर
বিভাক,3. सैनिक पहरा
বিজোনিয়া,बाइज़ोनिया
কালো পাখি,अवैध दास आयात
কালো পতাকা,काला झंडा
কৃষ্ণ গহ্বর,काल-कोठरी
কৃষ্ণ গহ্বর,2. ब्लैक होल
কালো পা (= স্ক্যাব),"गद्दार, द्रोही"
কালো শার্ট,"ब्लैक शर्ट, काली कुर्ती दल"
ব্লাজন,कुल चिह्र
ব্লাজন,2. कुल चिह्र अंकन
ব্লাজনরি,कुल-चिह्रांकन कला
ব্লাজনরি,2. कलात्मक प्रदर्शन
Blitzkrieg,"तड़ित युद्ध, तूफानी हमला"
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),"गौरवमय क्रांति, रक्तहीन क्रांति"
ব্লাডওয়াইট,"रक्तपात देय, खून की कीमत, रक्तपात दण्ड"
ব্লাডি মেরি,खूनी मेरी (सन् - ईo)
নীল,ब्लू
আভিজাত্য,"आभिजात्य, कुलीनता"
নীল বই,"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक"
নীল পটি,"नीला फीता, ब्लू रिबन"
নীল পটি,2. सर्वोच्च सम्मान
ব্লুজ (=রয়্যাল হর্স গার্ড),राजकीय रक्षक
নীল শার্ট,नीली कुर्ती दल (इटली)
ব্লু ওয়াটার স্কুল,नौसेना समर्थक
নিয়ন্ত্রণ বোর্ড,"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल"
শরীরবর্ম,"वर्म, जिरह-बख्तर"
বোয়ার,बूर
লুঠ,लूट का माल
বরো,बरो
বুলিউটেরিয়ন,सीनेट सदन
বোরবন,बूर्बा
বক্সার বিদ্রোহ,बॉक्सर विद्रोह
বন্ধনী,भुज कवच
ব্রাসার্ড,बाहु पट्टिका
ব্রাসার্ড,"2. भुज बंध, भुज कवच"
রুটি উপনিবেশ,बहुधान्यक प्रदेश
ব্রেস্ট প্লেট,"वक्षस्त्राण, उरस्ताण"
স্তনের কাজ,आवक्ष भित्ति
ব্রেটওয়াল্ডা,"ब्रेटवाल्डा, ब्रिटनों का अधिपति"
ব্রিগ্যান্ড,बटमार
ব্রিগ্যান্ডেজ,"बटमारी, लुंठन, राहजनी"
ব্রিটিশ কমনওয়েলথ অফ নেশনস,"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल"
ব্রাউন শার্ট (=নাৎসি),"ब्राउन शर्ट्स, भूरी कुर्ती दल"
ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন),ब्रुसेल्स संधि संगठन
বাফ,महिष चर्म
বাফ,2. लघु कोट
বাফ-কোট,बफ़-कोट
বাফস,बफ़-रेज़िमेंट
বুলে (= পরিষদ),ब्यूल
বার্গেজ,पट्टेदारी
বার্গেস,पौर प्रतिनिधि
বাইজেন্টাইন,बाईजेन्टिनी
বাইজেন্টাইন গির্জা,बाइजेन्टिनी गिरजाघर
বাইজেন্টাইন সাম্রাজ্য,बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य
বাইজেন্টাইন যুগ,बाइजेन्टिनी संवत्
বাইজেন্টাইন ইতিহাসবিদ,बाइजेन्टिनी इतिहासकार
ক্যাবল,"काबेल, षडयंत्रकारियों का गुट"
সিজারিজম,सीज़रतंत्र
খলিফা,खलीफ़ा
ক্যালিগ্রাফার,"खुशनवीस, सुलेखक"
ক্যালিগ্রাফিস্ট,सुलेख-विशारद
ক্যালিগ্রাফি,सुलेख
ক্যালট্রপ,कैल्ट्रॉप
বন্ধুত্ব,सौहार्द
ক্যামারিলা,लघु कक्ष
ক্যামারিলা,2. षाड्यंत्रिक
ক্যামেলাউকাম,(पोप का) मुकुट
ছদ্মবেশ,"छद्मावरण, छद्म गोपन"
প্রচারণা,अभियान
শিবিরের অনুসারী,लश्करी; शिविरानुचर
ক্যাম্পো সান্টো,गिरजा क़ब्रिस्तान
ক্যাম্পাস মার্টিয়াস,कैंपस मारशियस
ক্যানেফোরা,"कान्फोरा, डलियावाली"
ক্যাঙ্গু,कैंग; काष्ठबंध
কামান,गोलाबारी
কামানের খাদ্যরুপে পরিগণিত মানুষ,"युद्ध-बलि, तोपचारा"
ক্যানন,धर्म-सूत्र
ক্যানন আইন,"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम"
ক্যানোপাস ডিক্রি,"कैनोपेस आज्ञप्ति, कैनोपस डिक्री"
ক্যান্টিং অস্ত্র,"चिह्रित शस्त्र, चिह्रित आयुध"
বন্দী,बंदी
বন্দী,बंदीकर्त्ता
মৌলিক,कार्डिनल
কার্ল,कार्ल
ক্যারোলিংজিয়ান রাজবংশ,कैरोलिन्जी राजवंश
কার্থুসিয়ান সম্প্রদায়,कारथूसी संप्रदाय
কার্টোসা,कारथूसी मठ
কাস্টেলীয়,"किलेदार, कोटपाल"
কাস্টেলীয়,2. केस्टेलन
বর্ণপ্রথা,वर्ण-व्यवस्था
দুর্গ,() दुर्ग
দুর্গ,(2) गढ़ी
দুর্গ শহর,दुर्ग-नगर
কাস্ত্রা,कैस्ट्रा
কাস্ত্রা,2. रोमन शिविर
ক্যাথেড্রা,पादरी का सिंहासन
ক্যাথিড্রাল,मुख्य गिरजाघर
ক্যাটো স্ট্রিট ষড়যন্ত্র,केटो स्ट्रीट षडयंत्र
কাউডিলো,कॉडिलो
অশ্বারোহী,() कैवेलियर
অশ্বারোহী,(2) घुड़सवार
অশ্বারোহী সংসদ,कैवेलियर पार्लियामेंट
আদুল্লামের গুহা,"पक्ष-त्यागी गुट, आडुलम गुट"
গুহাচিত্র,"गुहा-चित्रकारी, गुहा-चित्रण"
গুহাচিত্র,2. गुहा-चित्र
সেন্টুমভির,सेन्टुमविर
সেঞ্চুরিয়ান,सेंचुरियन
সেঞ্চুরি,"शताब्दी, सदी, शती"
চেইন আর্মার (= চেইন মেইল),"जिरह-बख्तर, श्रृंखला-कवच"
চ্যানট্রি,"समर्पित मंदिर, समर्पित पूजागृह"
চ্যানট্রি,2. समर्पित धर्मदास
চ্যাপ বই,चैप पुस्तिका
চ্যাপলিন,"धर्माधिकारी, चैपलिन"
অধ্যায়,पादरी मंडल
দুর্ঘটনার অধ্যায়,सांयोगिक दुर्घटनाएँ
চার্জ,कीतिंचिह्र
চার্জ ডি অ্যাফেয়ার্স,"कार्यदूत, दूत-कार्यकारी"
চার্জ বিভাজন,विदाई परामर्श
চার্জার,युद्धाश्व
রথ,विजय रथ
সারথি,रथारोही
সারথি,2. रथी
সারথি,3. सारथी
দাতব্য রান্নাঘর,"अन्नसत्र, लंगर"
সনদ,"अधिकार-पत्र, चार्टर"
চার্টিস্ট আন্দোলন (=চার্টিজম),चार्टिस्ट आंदोलन
চার্টোফাইলাসিয়াম,"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ"
Chateau,"सामंत गढ़ी, शातो"
চেক পোস্ট,पड़ताल चौकी
রাসায়নিক যুদ্ধ,रासायनिक युद्ध
চেস্টার,दुर्ग-नगर
প্রধান,सरदार
প্রধান,सरदार
প্রধান,2. सामंत
প্রধান,3. राजा
শিফন,"जालांशुक, जालीदार कपड़ा, शिफान"
বীরত্ব,शौर्य
নির্বাচিত মানুষ,यहूदी लोग
ক্রিসমোগ্রাফিয়ন,दिव्यवाणी कक्ष प्रवचन कक्ष
খ্রিস্টধর্ম,ईसाई जगत
খ্রিস্টীয় যুগ,ईसवी काल
খ্রিস্টান সমাজতন্ত্র,ईसाई समाजवाद
ক্রনিকল,इतिवृत्त
ক্রনিকলার,इतिवृत्तकार
Chryse Chersonese,स्वर्ण-भूमि
সিমেলিয়াম,रत्न-कक्ष
সিনকুয়েসেন্টো স্টাইল,सोलहवीं शती की शैली
পরিক্রমা,परिनौचालन
সিস্টারসিয়ান সন্ন্যাসী,सिस्तर्शी साधु
সিটাডেল,"दुर्ग, गढ़ी"
উদ্ধৃতি,() प्रशस्ति
উদ্ধৃতি,(2) उपस्थिति सूचना
আইন অমান্য,सविनय अवज्ञा (आन्दोलन)
গৃহযুদ্ধ,गृह-युद्ध
সিভিস রোমানাস,रोमन नागरिक
শাস্ত্রীয় বয়স,"कलासिकी युग, श्रेण्य युग"
ক্লেফ্ট (=ক্লেফ্ট),बटमार
কেরানিবাদ,"पादरीवाद, पुरोहितवाद"
ক্লারাচ,"भूग्राही, क्लेरुक"
ক্লুনিয়াক আন্দোলন,क्लूनी आंदोलन
কোট বর্ম,"कवच, जिरह-बख्तर"
অস্ত্রের কোট,कुलांक
অস্ত্রের কোট,2. आयुधांक
অস্ত্রের কোট,3. अस्त्र-ध्वजादि-चित्रण
ডাকের কোট,"कवच, जिरह-बख्तर, अंगत्राण"
সমদল,कोहॉर्ट
কমিটিয়া,कोमिशिया
Comitia Centuriata,कोमिशिया सेंतुरियाता
কমিটিয়া কুরিয়াটা,कोमिशिया क्यूरिआता
Comitia Tributa,कोमिशिया ट्रिब्यूता
স্মারক খিলান,स्मारक तोरण
স্মারক মুদ্রা,स्मारक सिक्का
স্মারক সীলমোহর,स्मारक मुहर
সাধারণ ক্ষেত্র,सार्वजनिक भूमि
কমুনার্ড,कम्यूनार्ड
কনকর্ড্যাট,समझौता
কনকর্ড্যাট,2. धर्म-संधि
কনডোটিয়ের,कंदोत्यर
নিশ্চিতকরণ Cartarum,"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि"
দ্বন্দ্ব,संघर्ष
ধর্মসভা,धर्म-संगति
বিজয়ী রাষ্ট্র,विजेता राज्य
বিজয়ী,विजेता
বিজয়ী,"वर्षक वीर, अत्याचारी विजेता"
কনসিলিয়াম,राजपरिषद्
কনসিস্টরি,"चर्च न्यायालय, काँसिस्टरी"
ষড়যন্ত্র,षड़यन्त्र
ষড়যন্ত্র,2. साजिश
কনস্যুলেট,कांसुली शासन
কনসুলেশন বই,परामर्श-पुस्तिका
মহাদেশীয় ব্যবস্থা,महाद्वीपीय व्यवस्था
কনভেনশন সংসদ,अनधिकृत आहूत पार्लियामेंट
কপারহেডস (=শান্তি গণতন্ত্রী),कापरहेड्स
কপিহোল্ড,"पट्ट-भूमि, पट्टे पर मिली भूमि"
কর্ডনিং,परिसीमन; घेरा डालना
করোনা,"मुकुट, किरीट"
রাজ্যাভিষেক,राज्याभिषेक
রাজ্যাভিষেক পাথর,"अभिषेकाश्म, अभिषेक-शिला"
কর্পাস,(ग्रंथ) संग्रह
কর্সেয়ার,"जलदस्यु, समुद्री डाकू"
কর্সেয়ার,2. दस्यु पोत
কাঁচুলি (= কর্সেলেট),"उरस्त्राण, वक्षस्त्राण"
কর্টেস,"कार्टिज़, स्पेनी संसद"
কোটার (=কোটিয়ার),कुटी घर
কোটার (=কোটিয়ার),2. खिदमती काश्तकार
কাউন্ট প্যালাটিনেট,काउन्ट पैलेटीनेट
দেশের বাড়ি,ग्राम्य आवास
কাউন্টি,काउन्टी
কাউন্টি বরো,काउन्टी बरो
কাউন্টি আদালত,काउन्टी न्यायालय
কাউন্টি প্যালাটাইন,काउन्टी रियासत
আদালত,दरबार
আদালত,2. राजसभा
আদালতের সার্কুলার,राजपरिपत्र
আদালতের শিষ্টাচার,"दरबारी शिष्टाचार, दरबारी अदब, दरबारी क़ायदा"
দরবারী,"राजदरबारी, राजसभासद, मुसाहिब"
ক্যাসেশন আদালত,कोर्ट ऑफ कैसेशन
কোর্ট অফ ডিরেক্টরস (EIC),"(ईस्ट इंडिया कंपनी का) निदेशक मंडल, कोर्ट ऑफ डायरेक्टर्स"
মালিকদের আদালত,"(ईस्ट इंडिया कंपनी का) स्वामी मंडल, कोर्ट ऑफ प्रोप्राइटर्स"
দরবারের কবি,राजकवि
চুক্তিবদ্ধ ক্যামেরোনিয়ান,प्रसंविदाकारी केमेरोनपंथी
মুকুট,"राजा, क्राउन"
মুকুট,2. (क) ताज
মুকুট,(ख) मुकुट
মুকুট জমি,"खालसा, राजभूमि"
মুকুট জমি,2. संघ राज्य
ক্রাউন প্রিন্স,युवराज
ক্রুসেড,"धर्मयुद्ध, जिहाद"
ক্রুসেডার,धर्म-योद्धा
ক্রিপ্টোগ্রাম,"गुप्त लेख, छद्म लेख, गुप्त संदेश, कूट लेख, कूट संदेश, छद्म संदेश"
কুইরাস,"वक्षस्त्राण, जिरहबख़्तर"
কুইরাসিয়ার,"चर्म कवचधारी, अश्वारोही"
কাল্ট দেবতা,संप्रदाय देवता
কুরিয়া,"क्यूरिया, सभा-भवन, परिषद"
কুরিয়া,2. रोम का सीनेट भवन
জারবাদ,जारशाही
অন্ধকার মহাদেশ,अंध महाद्वीप
বিচারের দিন,प्रलय-दिवस
বিচারের দিন,2. क़यामत का दिन
যাজক,"डीन, अधिष्ठाता"
দশক,जशक
ডেনারিয়াস,दीनार
ক্ষমতাচ্যুত রাজা,सिंहासनच्युत राजा
নষ্ট করা,विलुंठन
বিলুপ্তি,"अपहरण, लूट-खसोट"
ডিথ্রোন,गद्दी से उतारना
ডায়ডেম,राजमुकुट
ডায়ডেম,2. किरीट
ডায়ডেম,3. राजचिह्र
ডায়াসিয়া,डायेसिया
ডিকাস্টেরিয়াম,न्यायालय
ডিলুভিয়ালিস্ট,जलप्रलयवादी
ডায়োসিস,बिशप-क्षेत्र
ডায়োসিস,2. डायोसीज़
নির্দেশিকা (=নির্দেশনা),क्रांतिकारी कार्यकारिणी
নির্দেশিকা (=নির্দেশনা),2. दायरोक्तायर
দিরহাম,दिरहम
অবিশ্বাসী,निष्ठाहीन
অবিশ্বাসী,2. देशद्रोही
ভুলের মতবাদ,"राज्य-अपहरण नीति, राज्यलय-नीति"
দলিল,"प्रलेख, दस्तावेज़"
দালিলিক প্রমাণ,"दस्तावेज़ी साक्ष्य, प्रलेखी साक्ष्य"
গম্বুজের বই,"अंतिम निर्णय पुस्तक, क़यामत के दिन की पुस्तक"
কনস্টানটাইনের দান,कॉन्सटेन्टाइन का दान
নিয়তি,"विधि, क़ानून"
ডাওগার রানী,राजमाता
ড্রাগন,"ड्रेगून, घुड़सवार"
ড্রোমেডারিয়ান,साँडनी सवार
ড্রোমেডারি,"साँडनी, मादा ऊँट"
ড্রমন্ড,महा नौका
দ্বৈত,द्वंद्व युद्ध
দ্বৈত জোট,"डुअल अलाएँस, दोहरी संधि"
ডুয়েল এন্টেন্টে,ड्यूल आँताँत
দ্বৈত ব্যবস্থা (= দ্বৈত সরকার),"दोहरा शासन, दुहरी सरकार, द्वैध शासन"
ডিউক,ड्यूक
ডুমা,ड्यूमा
বামন অবতার,वामन अवतार
রাজবংশ,वंश
রাজবংশ,2. राजवंश
ঈগল,गरूड़
বুড়ো মানুষ,एल्डरमेन
আর্ল,अर्ल
প্রাচীনত্ব,"अर्लपद, अर्लक्षेत्र"
প্রারম্ভিক গুপ্ত,"पूर्व गुप्त वंश, पूर्व गुप्त वंशीय राजा"
প্রারম্ভিক (ঐতিহাসিক) সাইট,पूर्वकालीन (ऐतिहासिक) स्थल
প্রারম্ভিক বৈদিক যুগ,पूर्व वैदिक काल
ইক্লেসিয়া,नागरिक सभा
