Hindi,Marathi
अपसामान्य,असामान्य
विफलन,गर्भपात
"अपघर्षण, घिसाई",घर्षण
"असंलग्न, अचानक, सहसा, विच्छिन्न",अचानक
निरपेक्ष क्षेत्र सामर्थ्य,परिपूर्ण फील्ड सामर्थ्य
परम ताप,परिपूर्ण तापमान
निरपेक्ष मान,परिपूर्ण मूल्य
"अवशोषित करना, अवशोषण करना",शोषून घ्या
अवशोषण गुणांक,शोषण सह-कार्यक्षम
अवशोषण हानि,शोषण तोटा
"अमूर्त, सारांश, सार, संक्षेप",गोषवारा
त्वरणमापी,एक्सेलरोमीटर
स्वीकृति परीक्षण,स्वीकृती चाचणी
अभिगम,प्रवेश
अभिगम नियंत्रण,प्रवेश नियंत्रण
अभिगम बिंदु,प्रवेश बिंदू
अभिगम काल,प्रवेश वेळ
अभिगम्यता,प्रवेशयोग्यता
संचायक सेल,संचयक सेल
यथार्थता,अचूकता
यथार्थ,अचूक
अवर्णक लेन्स,अ‍ॅक्रोमॅटिक लेन्स
"अम्ल, ऐसिड",आम्ल
अम्लसह,आम्ल पुरावा
अम्लता,आंबटपणा
"पावती द्वयंक, पावती बिट",पावती बिट
ध्वानिक,ध्वनिक
ध्वानिक संचार,ध्वनिक संप्रेषण
ध्वानिक विसरण,ध्वनिक प्रसार
ध्वानिक समकारी,ध्वनिक समतुल्य
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ध्वनिक अभिप्राय
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ध्वनिक फिल्टर
ध्वानिक प्रतिबाधा,ध्वनिक प्रतिबाधा
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ध्वनिक मास्किंग
ध्वानिक षक्ति,ध्वनिक शक्ती
ध्वानिक गुणधर्म,ध्वनिक मालमत्ता
ध्वानिक प्रतिघात,ध्वनिक प्रतिक्रिया
ध्वानिक प्रतिवर्त,ध्वनिक प्रतिक्षेप
ध्वानिक टाइल,ध्वनिक टाइल
ध्वानिक तरंग,ध्वनिक लाट
ध्वानिक अवशोषण गुणांक,ध्वनिक शोषण
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,ध्वनीविषयक क्षीणन स्थिर
ध्वानिक अवमंदन,ध्वनिकी ओलसर
ध्वानिक विलंब लाइन,ध्वनिक विलंब रेखा
ध्वानिक विरूपण,ध्वनिक विकृती
ध्वनि-वाहिनी,ध्वनिक नलिका
ध्वानिक ऊर्जा,ध्वनिक ऊर्जा
ध्वानिक पुनर्निवेश,ध्वनिक अभिप्राय
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",ध्वनिक फिल्टर
ध्वानिक प्रतिबाधा,ध्वनीविषयक प्रतिबाधा
ध्वानिक संचरण नियतांक,ध्वनीविषयक प्रसार स्थिर
ध्वानिक प्रतिरोध,ध्वनिक प्रतिकार
ध्वानिकतः रुद्ध,ध्वनिकरित्या इन्सुलेटेड
"ध्वानिकी, ध्वनि विज्ञान",ध्वनिकी
"अधिग्रहण, अर्जन, उपार्जन",संपादन
संक्षिप्त रूप,परिवर्णी शब्द
कार्य क्षेत्र,कृती क्षेत्र
"सक्रियकृत तंतु, सक्रियित तंतु",सक्रिय फिलामेंट
सक्रिय,सक्रिय
सक्रिय क्षेत्र,सक्रिय क्षेत्र
सक्रिय विंडो,सक्रिय विंडो
अनुकूलनीयता,अनुकूलता
"अनुकूलक, अनुकूलित्र",अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
अनुकूली विभेदी स्पंद कोड मॉडुलन,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
"पता पुस्तिका, एड्रेस बुक",अॅड्रेस बुक
"पता बस, एड्रेस बस",अ‍ॅड्रेस बस
"पता विभेदन, एड्रेस विभेदन",पत्ता ठराव
"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण",लगतच चॅनेल हस्तक्षेप
"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता",लगतच चॅनेल निवड
आसन्न आवृत्ति,समीप वारंवारता
आसन्न आवृत्ति चैनल,समीप फ्रिक्वेन्सी चॅनेल
"आसन्न चित्र वाहक, संलग्न वीडियो वाहक",लगतचे चित्र वाहक
आसन्न ध्वनि वाहक,समीप ध्वनी वाहक
"निकटवतब स्टेशन, निकटवतब केंद्र",समीप स्टेशन
समायोज्य,समायोज्य
समायोज्य संधारित्र,समायोज्य कंडेन्सर
समायोज्य दाब,दबाव समायोजित करणे
समायोजी रिंच,पाना समायोजित करणे
समायोजन,समायोजन
"प्रशासक, नियंत्रक",प्रशासक
उन्नत प्रौद्योगिकी,आधुनिक तंत्रज्ञान
"एरियल (ऐन्टेना), आकाशी, वायव, हवाई",हवाई
एरियल व्यूह,एरियल अ‍ॅरे
"एरियल वर्धक, ऐन्टेना वर्धक",एरियल बूस्टर
ऐन्टेना धारा,एरियल करंट
ऐन्टेना भूसंपर्कक स्विच,एरियल अर्थिंग स्विच
ऐन्टेना दक्षता,हवाई कार्यक्षमता
ऐन्टेना प्रतिबाधा,हवाई प्रतिबाधा
ऐन्टेना प्रेरकत्व,एरियल इंडक्टन्स
ऐन्टेना विद्तरोधी,एरियल इन्सुलेटर
ऐन्टेना भारण कुंडली,एरियल लोडिंग कॉइल
आकाषी फोटोग्राफी,एरियल फोटोग्राफी
ऐन्टेना षक्ति,हवाई शक्ती
आकाशी विकिरण प्रतिरोध,एरियल रेडिएशन रीस्टन्स
ऐन्टेना प्रतिघात,हवाई प्रतिक्रिया
वायुगतिकी,एरोडायनामिक्स
"एजेंसी, अभिकरण",एजन्सी
वायु संपीडक,एअर कॉम्प्रेसर
वायु संधारित्र,एअर कंडेन्सर
वायुशीतित,वातानुकूलित
वायु क्रोडित कुंडली,एअर कोर्ड कॉइल
वातानुकूलन,वातानुकुलीत
ऐल्बीडो,अल्बेडो
"कलन विधि, एल्गोरिथ्म",अल्गोरिदम
एलियासिंग,अलियासिंग
संरेखण,संरेखित
संरेखण,संरेखन
सर्व तरंग एरियल,सर्व वेव्ह एरियल
नियतन,वाटप
"वर्णक्रमीय, वर्णक्रमिक",वर्णमाला
अक्षरांकीय,अल्फान्यूमेरिक
अक्षरांकीय संप्रतीक,अल्फान्यूमेरिक वर्ण
अक्षरांकीय सूचना,अल्फान्यूमेरिक माहिती
प्रत्यावतब धारा (ए सी),वैकल्पिक चालू (ए.सी.)
प्रत्यावर्तन,वैकल्पिक
"प्रत्यावर्तक, प्रत्यावर्तित्र",अल्टरनेटर
"तुंगता, उन्नतांश, शीर्षलंब",समुद्रसपाटीपासूनची उंची
अपभू-तुंगता,अपोजीची उंची
उपभू-तुंगता,पेरिगीची उंची
अव्यावसायिक रेडियो संचार,हौशी रेडिओ संप्रेषण
परिवेश,वातावरण
परिवेश माइक्रोफोन,वातावरण मायक्रोफोन
परिवेशी दशा,वातावरणीय स्थिती
परिवेश प्रकाश व्यवस्था,वातावरणीय प्रकाश
परिवेशी रव,सभोवतालचा आवाज
"परिवेशी ताप, परिवेश ताप",वातावरणीय तापमान
अमरीकी मानक कोड,अमेरिकन मानक कोड
ऐम्पियर,अँपियर
ऐम्पियर मापी,अ‍ॅम्पेअर मीटर
प्रवर्धन,प्रवर्धन
प्रवर्धन गुणक,प्रवर्धन घटक
प्रवर्धक,एम्पलीफायर
प्रवर्धक लब्धि,एम्पलीफायर गेन
प्रवर्धक रव,एम्पलीफायर आवाज
प्रवर्धन उपस्कर,एम्प्लिफाइंग उपकरणे
प्रवर्धन क्लाइस्ट्रॉन,क्लीस्ट्रॉनचे विस्तार
प्रवर्धन एकक,एम्प्लिफाइंग युनिट
"आयाम, कोणांक",मोठेपणा
आयाम विरूपण,मोठेपणा विकृती
आयाम प्रसार,मोठेपणा सहन
आयाम गुणक,मोठेपणा घटक
आयाम सीमक,मोठेपणा मर्यादा
आयाम मॉडुलित,मोठेपणा मॉड्यूलेटेड
आयाम मॉडुलन,मोठेपणा मॉड्यूलेशन
"अनुरूप, एनालॉग",एनालॉग (अ‍ॅनालॉग)
अनुरूप परिपथ,एनालॉग सर्किट
अनुरूप कंप्यूटर,एनालॉग संगणक
अनुरूप रेडियो आवृत्ति चैनल,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
अनुरूप निरूपण,एनालॉग प्रतिनिधित्व
"अनुरूप संकेत, अनुरूप सिगनल",एनालॉग सिग्नल
अनुरूप से अंकीय,डिजिटल टू डिजिटल
अनुरूप-अंकीय परिवर्तक,डिजिटल कन्व्हर्टर टू एनालॉग
अनुरूप वीडियो,एनालॉग व्हिडिओ
"अनुरूप, स–श",समान
अनुरूपता,समानता
विष्लेषण,विश्लेषण
आंकड़ा विष्लेषण,डेटाचे विश्लेषण
विष्लेषी घनत्व,विश्लेषणात्मक घनता
विष्लेषण करना,विश्लेषण
विष्लेषक,विश्लेषक
सहायक उपस्कर,उपकरणे
"ऐन्ड गेट, तथा द्वार, AND गेट",आणि गेट
समांतरण कोण,कोलिमेशनचा कोन
धुवण कोण,ध्रुवीकरणाचा कोन
घूर्णन कोण,रोटेशनचा कोन
ऐंग्स्ट्रम(Å),अँगस्ट्रॉम (Å)
"कोणीय, d¨f.kd",कोनीय
d¨.kh; त्वरण,कोनीय प्रवेग
कोणीय निर्देशांक,कोनीय समन्वय
कोणीय विक्षेपण,कोनीय विक्षेपण
कोणीय परिक्षेपण,कोनीय फैलाव
कोणीय विस्थापन,कोनीय विस्थापन
कोणीय त्रुटि,कोनीय त्रुटी
कोणीय आवृत्ति,कोनीय वारंवारता
कोणीय संवेग,कोनीय गती
कोणीय गति,कोनीय गती
कोणीय वेग,कोनीय गती
"ऐनीमेशन, सजीवन",अ‍ॅनिमेशन
ऐनोड,एनोड
ऐनोड बैटरी,एनोड बॅटरी
ऐनोड अभिलक्षण,एनोड वैशिष्ट्य
ऐनोड परिपथ,एनोड सर्किट
ऐनोड क्षय,एनोड अपव्यय
ऐनोड दक्षता,एनोड कार्यक्षमता
ऐनोड निवेश षक्ति,एनोड इनपुट पॉवर
ऐनोड मॉडुलन,एनोड मॉड्यूलेशन
ऐन्टेना,अँटेना
ऐन्टेना किरणपुंज चौड़ाई,अँटेना बीमविड्थ
ऐन्टेना वर्धक,अँटेना बूस्टर
ऐन्टेना परिवर्तन स्विच,अँटेना चेंजओव्हर स्विच
ऐन्टेना कुंडली,अँटेना कॉइल
"ऐन्टेना विन्यास, ऐन्टेना संरूपण",अँटेना कॉन्फिगरेशन
ऐन्टेना युग्मक,अँटेना कपलर
ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप,अँटेना क्रॉस ध्रुवीय नमुना
ऐन्टेना धारा,अँटेना करंट
ऐन्टेना दैशिकता लब्धि,अँटेना डायरेक्टिव्हिटी गेन
ऐन्टेना द्वैध संकेतक,अँटेना डुप्लेक्सर
ऐन्टेना प्रभावी क्षेत्र,अँटेना प्रभावी क्षेत्र
ऐन्टेना दक्षता,अँटेना कार्यक्षमता
ऐन्टेना प्रभरण,अँटेना फीड
ऐन्टेना व्याप्ति,अँटेना फूट प्रिंट
ऐन्टेना लब्धि,अँटेना गेन
ऐन्टेना ऊंचाई,अँटेना उंची
ऐन्टेना प्रतिबाधा,अँटेना प्रतिबाधा
ऐन्टेना प्रेरकत्व,अँटेना इंडक्टन्स
ऐन्टेना प्रतिरूप,अँटेना पॅटर्न
"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक",अँटेना प्लेक्सर
ऐन्टेना धुवण,अँटेना ध्रुवीकरण
ऐन्टेना षक्ति,अँटेना पॉवर
ऐन्टेना षक्ति लब्धि,अँटेना पॉवर गेन
ऐन्टेना विकिरण प्रतिरोध,अँटेना रेडिएशन प्रतिरोध
ऐन्टेना प्रतिघात,अँटेना रिएक्टन्स
ऐन्टेना परावर्तक,अँटेना परावर्तक
ऐन्टेना प्रतिरोध,अँटेना प्रतिकार
ऐन्टेना अनुनादी आवृत्ति,अँटेना रेझोनंट वारंवारता
ऐन्टेना अंतरालन,अँटेना स्पेसिंग
ऐन्टेना स्विचन कक्ष,अँटेना स्विचिंग रूम
ऐन्टेना समस्वरक कुंडली,अँटेना ट्यूनिंग कॉइल
ऐन्टेना समस्वरक कुटीर,अँटेना ट्यूनिंग झोपडी
द्वारक,छिद्र
"भूमि उच्च, अपभू",अपोजी
अपभू राकेट,अपोजी रॉकेट
उपकरण,उपकरणे
आभासी,उघड
ऐपलेट (जावा में प्रोग्राम),Let पलेट
"अनुप्रयोग, आवेदन",अर्ज
"आसन्न, लगभग, सन्निकट",अंदाजे
जलीय घोल,जलीय द्रावण
"चाप, आर्क",कंस
"संरचना, स्थापत्यकला, वास्तुकला",आर्किटेक्चर
पुरालेखीय ध्वनि-अभिलेखन अंतरण,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
अभिलेखागार; पुरालेख,संग्रहण
अंकगणितीय कोडन,अंकगणित कोडिंग
आर्मेचर,आर्मेचर
"आर्मेचर कुंडलन, आर्मेचर कुंडली",आर्मेचर विंडिंग
"व्यूह, सरणी",रचना
"प्रग्राही, निरोधक",अरेस्टर
सुस्पष्ट उच्चारण,बोलता
शिल्पतथ्य; छविदोष,कलाकृती (= कलाकृती)
आरोहण,चढत्या
अभिमुखता अनुपात,प्रसर गुणोत्तर
समायोजक,असेंबलर
निष्चयन,प्रतिपादन
"समनुदेशन, नियत कार्य",असाइनमेंट
नियतन चैनल,असाइनमेंट चॅनेल
असममित,असममित
अतुल्यकालिक,एसिन्क्रोनस
वायुमंडल,वातावरण
वायुमंडलीय हानि,वातावरणीय नुकसान
वायुमंडलीय रव,वातावरणीय आवाज
वायुमंडलीय दाब,वातावरणीय दबाव
वायुमंडलीय संचरण,वातावरणीय प्रसार
वायुमंडलीय रेडियो तरंग,वातावरणीय रेडिओ-वेव्ह
वायु-वैद्युत् क्षोभ,वातावरण
परमाणु,अणू
परमाणु संरचना,अणु रचना
संलग्नक,संलग्नक
क्षीणन,क्षीणन
क्षीणन हानि,क्षमतेचे नुकसान
ध्वनि तरंग क्षीणन,ध्वनी लहरींचे लक्ष वेधणे
क्षीणकारी,अ‍ॅटेन्युएटर
क्षीणकारी पैड,अ‍ॅटेन्युएटर-पॅड
श्रव्यता देहली,ऑडिबिलिटी थ्रेशोल्ड
श्रव्य,ऐकण्यायोग्य
श्रव्य आवृत्ति,ऐकण्यायोग्य वारंवारता
श्रव्य स्वरक,ऐकण्यायोग्य टोन
श्रव्य स्पेक्ट्रम,ऐकण्यायोग्य-स्पेक्ट्रम
"श्रोतागण, दर्शकगण, श्रोता समुदाय",प्रेक्षक
"श्रव्य, ऑडियो",ऑडिओ
श्रव्य प्रवर्धक,ऑडिओ एम्पलीफायर
श्रव्य विष्लेषक,ऑडिओ विश्लेषक
श्रव्य प्रसारण,ऑडिओ प्रसारण
"श्रव्य केबल, ऑडियो केबल",ऑडिओ केबल
श्रव्य  शृंखला,ऑडिओ साखळी
"श्रव्य कोडेक, श्रव्य कोडक-विकोडक",ऑडिओ कोडेक
श्रव्य संपीडन,ऑडिओ कॉम्प्रेशन
श्रव्य संपीडक,ऑडिओ कॉम्प्रेसर
श्रव्य कंसोल,ऑडिओ कन्सोल
श्रव्य विरूपण,ऑडिओ विकृती
"श्रव्य गतिक सीमा, श्रव्य गतिक परास",ऑडिओ डायनॅमिक श्रेणी
श्रव्य संचिका आरूप,ऑडिओ फाइल स्वरूप
श्रव्य फ्रेम आरूप,ऑडिओ फ्रेम स्वरूप
श्रव्य आवृत्ति प्रवर्धक,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
श्रव्य आवृत्ति जनित्र,ऑडिओ फ्रिक्वेन्सी जनरेटर
श्रव्य आवृत्ति परास,ऑडिओ वारंवारता श्रेणी
श्रव्य आवृत्ति अनुक्रिया,ऑडिओ वारंवारता प्रतिसाद
श्रव्य सीमक,ऑडिओ लिमिटर
श्रव्य लाइन,ऑडिओ लाइन
श्रव्य मिश्रक,ऑडिओ मिक्सर
श्रव्य मॉडुलन,ऑडिओ मॉड्यूलेशन
"श्रव्य दोलक, श्रव्य दोलित्र",ऑडिओ ऑसीलेटर
श्रव्य निर्गत,ऑडिओ आउटपुट
श्रव्य षक्ति,ऑडिओ पॉवर
श्रव्य गुणवत्ता,ऑडिओ गुणवत्ता
"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल",ऑडिओ सिग्नल
श्रव्य संकेत प्रक्रमण,ऑडिओ सिग्नल प्रक्रिया
"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम",ऑडिओ स्पेक्ट्रम
श्रव्य भंडारण,ऑडिओ स्टोरेज
श्रव्य (आवृत्ति) उपवाहक,ऑडिओ सब-कॅरियर
श्रव्य रूपांतरक,ऑडिओ ट्रान्सफॉर्मर
श्रव्य प्रेषित्र,ऑडिओ ट्रान्समीटर
–श्य/श्रव्य संपीडन,ऑडिओ/व्हिडिओ कॉम्प्रेशन
श्रव्य आवृत्ति दोलक,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल",ऑडिओ-फ्रिक्वेन्सी सिग्नल
श्रव्यमिति,ऑडिओमेट्री
–ष्य-श्रव्य साधन,ऑडिओ-व्हिज्युअल मदत
श्रवण बोध,श्रवणविषयक समज
"अधिप्रमाणन, प्रमाणीकरण",प्रमाणीकरण
"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति",अधिकृत वाहक वारंवारता
"ऑटो कैड, ऑटो CAD",ऑटो कॅड
स्वतः नैदानिकी,ऑटो डायग्नोस्टिक्स
"स्वचल, स्वचालित, स्वतः, स्व",स्वयंचलित
स्वतः नियंत्रण,स्वयंचलित नियंत्रण
स्वतः संसूचन,स्वयंचलित शोध
स्वचालित उपस्कर,स्वयंचलित उपकरणे
स्वतःआवृत्ति नियंत्रण,स्वयंचलित वारंवारता नियंत्रण
स्वचालित सीमक,स्वयंचलित मर्यादा
स्वचालित मशीन,स्वयंचलित मशीन
स्वतः कला नियंत्रण,स्वयंचलित Phasae नियंत्रण
स्वतः चित्र प्रेषण,स्वयंचलित चित्र संप्रेषण
"स्व प्रतिश्रवण, स्व प्रति–श्यण",स्वयंचलित प्लेबॅक
स्वतः षक्ति नियंत्रण,स्वयंचलित उर्जा नियंत्रण
"स्वतःप्रोग्रामन, स्वतः क्रमादेशन",स्वयंचलित प्रोग्रामिंग
स्वतः अभिलेखन,स्वयंचलित रेकॉर्डिंग
स्वतः पुनः स्थापन,स्वयंचलित रीसेट
स्वचालित कपाट,स्वयंचलित शटर
स्वचल तंत्र,स्वयंचलित प्रणाली
स्वचालित टेलीफोन,स्वयंचलित टेलिफोन
स्वतः ताप-नियंत्रण,स्वयंचलित तापमान नियंत्रण
स्वतः वोल्टता नियामक,स्वयंचलित व्होल्टेज नियामक
स्वतः प्रबलता संपीडक,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
स्वतः प्रबलता नियंत्रक,स्वयंचलित व्हॉल्यूम नियंत्रण
स्वतः प्रबलता विस्तारक,स्वयंचलित व्हॉल्यूम विस्तारक
स्वचालन,ऑटोमेशन
"स्वचालन नियंत्रण, स्वतः नियंत्रण, स्वनियंत्रण",ऑटोमेशन नियंत्रण
स्वतः आवृत्ति नियंत्रक,ऑटोमेशन फ्रिक्वेन्सी कंट्रोलर
सहायक,सहाय्यक
सहायक श्रव्य बस,सहाय्यक ऑडिओ बस
उपलब्ध षक्ति,उपलब्ध शक्ती
"ऐवेलांशी भंग, अवधाव भंग",हिमस्खलन ब्रेकडाउन
"औसत आयु, औसत जीवन",सरासरी जीवन
औसत दाब,सरासरी दबाव
औसत चाल,सरासरी वेग
प्रचक्रण-अक्ष,फिरकीची अक्ष
दिगंश,अजीमुथ
दिगंश कोण,अजीमुथ कोन
दिगंश त्रुटि,अजीमुथ त्रुटी
"पृष्ठ प्रकाश, पश्च प्रकाश",मागे प्रकाश
पश्च प्रक्षेपण,बॅक प्रोजेक्शन
विरोधी वोल्टता,बॅक व्होल्टेज (= रिव्हर्स व्होल्टेज)
विपरीत आर्क,बॅकफायर (आर्क बॅक)
पृष्ठभूमि प्रकाश,पार्श्वभूमी प्रकाश
पृष्ठभूमि रव,पार्श्वभूमी आवाज
पृष्ठभूमि प्रक्षेपण,पार्श्वभूमी प्रोजेक्शन
"बैक-अप, पूर्तिकर, प्रतिपोषक",बॅकअप
"गतिरोधक, व्यारोध, बाधिका",बफल
भर्जन,बेकिंग
संतुलित श्रव्य,संतुलित ऑडिओ
संतुलित श्रव्य लाइन,संतुलित ऑडिओ लाइन
संतुलित संचरण लाइन,संतुलित ट्रान्समिशन लाइन
संतुलन,संतुलन
स्थिरक,गिट्टी
स्थिरण कारक,गिट्टी फॅक्टर
बलून,बालुन
"बैंड, पट्टी",बँड
"बैंड पारक फिल्टर, बैंड पारक निस्यंदक",बँड पास फिल्टर
बैंड वरक,बँड निवडकर्ता
बैंड विपाटन,बँड स्प्लिटिंग
"बैंड वर्जक फिल्टर, बैंड वर्जक निस्यंदक",बँड स्टॉप फिल्टर
बैंड स्विच,बँड स्विच
"पट्टी समस्वरण, बैंड ट्यूनिंग",बँड ट्यूनिंग
"बैंड विस्तार, बैंडविड्थ, बैंड चौड़ाई",बँडविड्थ
"बार, दंड",बार
बार कोड,बार कोड
"बार डाटा, बार आंकड़ा",बार डेटा
खुली पट्टी,बेअर बँड
अनावृत लैम्प,बेअर दिवा
बार्न द्वार,धान्याचे कोठार
आधार बैंड,बेस बँड
आधार बैंड संकेत,बेस बँड सिग्नल
आधार बैंड तंत्र,बेस बँड सिस्टम
आधार विचरक,बेस ब्राउझर
आधार संग्राही संधि,बेस कलेक्टर जंक्शन
आधार विद्युत्रोधी,बेस इन्सुलेटर
"मन्द्रस्वर, बास",बास
मन्द्रस्वर क्षतिपूर्ति,बास भरपाई
मन्द्रस्वर लाउडस्पीकर,बास लाऊडस्पीकर (वूफर)
समूह क्रमवीक्षण,बॅच स्कॅनिंग
बैटरी आवेशन,बॅटरी चार्जिंग
किरण पुंज,तुळई
विस्पंद,बीट
विस्पंद आवृत्ति दोलित्र,बीट फ्रिक्वेन्सी ऑसीलेटर
बेल,बेल
"अभिनति, बायस",पूर्वाग्रह
"बायस परिपथ, अभिनति परिपथ",बायस सर्किट
"अभिनति आवृत्ति, बायस-आवृत्ति",पूर्वाग्रह वारंवारता
बायस वोल्टता,बायस व्होल्टेज
"अग्रबायसित, अग्राभिनत",पुढील दिशेने पक्षपाती
उभयमुखी माइक्रोफोन,द्वि-दिशात्मक मायक्रोफोन
"बिलबोर्ड, विज्ञापन फलक",बिलबोर्ड
बिलबोर्ड अनुप्रयोग,बिलबोर्ड अर्ज
द्विधात्विक अवयव,द्वि-धातूचा घटक
द्विआधारी,बायनरी
द्विआधारी कोडित दशमलव,बायनरी कोडित दशांश
द्विआधारी अंक (बिट),बायनरी अंक (बिट)
द्विआधारी संख्या,बायनरी नंबर
द्विकणब श्रवण,बिनौरल सुनावणी
"द्विनेत्री, बाइनॉक्युलर",दुर्बिणी
"जैवमितीय, जैवमितिक",बायोमेट्रिक
द्विधुवी ट्रांजिस्टर,द्विध्रुवीय ट्रान्झिस्टर
बिट नियतन,बिट वाटप
बिट दर,बिट रेट
श्वेत-श्याम टेलीविजन,काळा आणि पांढरा टीव्ही
"रिक्त, शून्य, विलोप",रिक्त
विलोपन अंतराल,ब्लँकिंग मध्यांतर
विलोपन स्तर,ब्लँकिंग लेव्हल
स्रावी प्रतिरोध,ब्लेडर रेझिस्टन्स
