Kannada,Malayalam
ಅಬ್ಯಾಕಸ್,അബാക്കസ്
ಅಸಹಜ ಮುಕ್ತಾಯ,അസാധാരണമായ അവസാനിപ്പിക്കൽ
ಸ್ಥಗಿತಗೊಳಿಸು,ഉപേക്ഷിക്കുക
ಸಂಪೂರ್ಣ,കേവല
ಸಂಪೂರ್ಣ ವಿಳಾಸ,സമ്പൂർണ്ണ വിലാസം
ಸಂಪೂರ್ಣ ವಿಳಾಸ,സമ്പൂർണ്ണ അഭിസംബോധന
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,കേവല അസംബ്ലർ
ಸಂಪೂರ್ಣ ಕೋಡ್,കേവല കോഡ്
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,സമ്പൂർണ്ണ കമാൻഡ്
ಸಂಪೂರ್ಣ ಡೇಟಾ,സമ്പൂർണ്ണ ഡാറ്റ
ಸಂಪೂರ್ಣ ಸೂಚನೆ,സമ്പൂർണ്ണ നിർദ്ദേശം
ಸಂಪೂರ್ಣ ಮೋಡ್,കേവല മോഡ്
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,കേവല പാത
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
ಅಮೂರ್ತ ವರ್ಗ,അമൂർത്ത ക്ലാസ്
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,അമൂർത്ത ഡാറ്റ തരം
ಅಮೂರ್ತ ಯಂತ್ರ,അമൂർത്ത യന്ത്രം
ಅಮೂರ್ತ ಚಿಹ್ನೆ,അമൂർത്ത ചിഹ്നം
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,അമൂർത്തമായ വാക്യഘടന
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,സ്വീകാര്യത പരിശോധന
ಪ್ರವೇಶ ದೃಢೀಕರಣ,ആക്സസ് പ്രാമാണീകരണം
ಪ್ರವೇಶ ಕೋಡ್,പ്രവേശന കോഡ്
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,പ്രവേശന നിയന്ത്രണം
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,ആക്സസ് സ്കാൻ
ಪರಿಕರ,ഉപസാധനം
ಖಾತೆ,അക്കൗണ്ട്
ಖಾತೆ ID,അക്കൗണ്ട് ID
ಸಂಚಯಕ,ശേഖരണം
ನಿಖರತೆ,കൃത്യത
ಪ್ರವೇಶ,പ്രവേശനം
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,പ്രവേശന സൂചിക
ಪ್ರವೇಶ ಕೀ,ആക്സസ് കീ
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ആക്സസ് മാട്രിക്സ്
ಪ್ರವೇಶ ಮೋಡ್,ആക്സസ് മോഡ്
ಪ್ರವೇಶ ಸವಲತ್ತು,ആക്സസ് പ്രിവിലേജ്
ಪ್ರವೇಶ ಭದ್ರತೆ,ആക്സസ് സുരക്ഷ
ಪ್ರವೇಶ ಸರ್ವರ್,ആക്സസ് സെർവർ
ಪ್ರವೇಶ ಸಮಯ,പ്രവേശന സമയം
ಸ್ವೀಕೃತಿ,അംഗീകാരം
ಅಕೌಸ್ಟಿಕ್ಸ್,ശബ്ദശാസ്ത്രം
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,സംക്ഷേപം
ಕ್ರಿಯೆಯ ಸಂದೇಶ,പ്രവർത്തന സന്ദേശം
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,സജീവമാക്കൽ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),സജീവ സെർവർ പേജ് (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,സജീവ പതിപ്പ്
ಅಸೈಕ್ಲಿಕ್,അസൈക്ലിക്
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,അസൈക്ലിക് ഗ്രാഫ്
ಅದಾ ಭಾಷೆ,അഡാ ഭാഷ
ಅಡಾಪ್ಟರ್,അഡാപ്റ്റർ
ಸೇರಿಸಿ,ചേർക്കുക
ಕಡತವನ್ನು ಸೇರಿಸು,ഫയൽ ചേർക്കുക
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,പ്രവർത്തനം ചേർക്കുക
ಸೇರಿಸುವವನು,ചേർക്കുന്നയാൾ
ವಿಳಾಸ,വിലാസം
ವಿಳಾಸ ಬಸ್,വിലാസം ബസ്
ವಿಳಾಸ ಫೈಲ್,വിലാസ ഫയൽ
ವಿಳಾಸ ಸ್ವರೂಪ,വിലാസ ഫോർമാറ്റ്
ವಿಳಾಸ ಜನರೇಟರ್,വിലാസ ജനറേറ്റർ
ವಿಳಾಸ ಸಾಲು,വിലാസ ലൈൻ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,വിലാസ മാപ്പിംഗ്
ವಿಳಾಸ ಪಾಯಿಂಟರ್,വിലാസ സൂചിക
ವಿಳಾಸ ನೋಂದಣಿ,വിലാസ രജിസ്റ്റർ
ವಿಳಾಸ ನಿರ್ಣಯ,വിലാസം റെസലൂഷൻ
ವಿಳಾಸ ಅನುವಾದ,വിലാസ വിവർത്തനം
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,അഭിസംബോധന ചെയ്ത മെമ്മറി
ಉದ್ದೇಶಿಸಿ,അഭിസംബോധന
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,പര്യാപ്തത മാനദണ്ഡം
ಪಕ್ಕದ,അനുബന്ധം
ಆಡಳಿತ,ഭരണകൂടം
ನಿರ್ವಾಹಕ,കാര്യനിർവാഹകൻ
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,അഡോബ് അക്രോബാറ്റ്
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,അഡോബ് ഫോട്ടോഷോപ്പ്
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,വിപുലമായ ഡാറ്റ
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,വിപുലമായ വിവര സംവിധാനം
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
ಏಜೆಂಟ್,ഏജന്റ്
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,സമാഹരണം
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,ആൽഡസ് പേജ് മേക്കർ
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,മുന്നറിയിപ്പ് ബോക്സ്
ಆಲ್ಗೋಲ್,ആൽഗോൾ
ಅಲ್ಗಾರಿದಮ್,അൽഗോരിതം
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,അൽഗോരിതം വിശകലനം
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,അൽഗോരിതം കാര്യക്ഷമത
ಅಲಿಯಾಸ್,അപരനാമം
ಜೋಡಣೆ,വിന്യാസം
ಹಂಚಿಕೆ,വിഹിതം
ವರ್ಣಮಾಲೆಯ,അക്ഷരമാലാക്രമം
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,ആൽഫാന്യൂമെറിക്
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,ആൽഫ-ടെസ്റ്റ്
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,ആൽഫ പതിപ്പ്
ಆಲ್ಟ್ ಕೀ,alt കീ
ಅಲ್ಟಾವಿಸ್ತಾ,അൾട്ടാവിസ്റ്റ
ಅಸ್ಪಷ್ಟತೆ,അവ്യക്തത
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,അവ്യക്തമായ വ്യാകരണം
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
ಅನಲಾಗ್,അനലോഗ്
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,അനലോഗ് കമ്പ്യൂട്ടർ
ಅನಲಾಗ್ ಸಾಧನ,അനലോഗ് ഉപകരണം
ಅನಲಾಗ್ ಮೋಡೆಮ್,അനലോഗ് മോഡം
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC)
ಮತ್ತು,ഒപ്പം
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,കൂടാതെ സർക്യൂട്ട്
ಮತ್ತು ಗೇಟ್,ഒപ്പം ഗേറ്റും
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ)
ಅನಿಮೇಷನ್,ആനിമേഷൻ
ಟಿಪ್ಪಣಿ,വ്യാഖ്യാനം
ಅಸಂಗತತೆ,അപാകത
ಪೂರ್ವಭಾವಿ,മുൻഗാമി
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,മുൻകൂർ പേജിംഗ്
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,വിരുദ്ധ സമമിതി
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,ആന്റിവൈറസ് പ്രോഗ്രാം
ಆಪ್ಲೆಟ್,ആപ്ലെറ്റ്
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
ಅನ್ವಯಿಕ ಭಾಷೆ,ബാധകമായ ഭാഷ
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,ഏകദേശ സിദ്ധാന്തം
ವಾಸ್ತುಶಿಲ್ಪ,വാസ്തുവിദ്യ
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,ഏരിയ കൈമാറ്റം
ವಾದ,വാദം
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,"ഗണിത, യുക്തി യൂണിറ്റ്"
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,ഗണിത പരിശോധന
ಅಂಕಗಣಿತ ಸ್ಥಿರ,ഗണിത സ്ഥിരാങ്കം
ಅಂಕಗಣಿತದ ಡೇಟಾ,ഗണിത ഡാറ്റ
ಅಂಕಗಣಿತದ ಸೂಚನೆ,ഗണിത നിർദ്ദേശം
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),ഗണിതവും യുക്തിയും യൂണിറ്റ് (ALU)
ಅರ್ಪಾನೆಟ್,അർപാനെറ്റ്
ಶ್ರೇಣಿ,അറേ
ರಚನೆಯ ಸಂಗ್ರಹ,അറേ കാഷെ
ಅರೇ ಕಂಪ್ಯೂಟರ್,അറേ കമ്പ്യൂട്ടർ
ರಚನೆಯ ಅಂಶ,അറേ ഘടകം
ರಚನೆಯ ಹೆಸರು,അറേ പേര്
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,അറേ പ്രോസസർ
ಬಾಣದ ಕೀಲಿಗಳು,അമ്പടയാള കീകൾ
ಉಚ್ಚಾರಣೆ,ഉച്ചാരണം
ಉಚ್ಚಾರಣಾ ಬಿಂದು,ആർട്ടിക്കുലേഷൻ പോയിന്റ്
ಕೃತಕ ಸಂಕೋಚನ,കൃത്രിമ കോംപാക്ഷൻ
ಕೃತಕ ನಿಯಂತ್ರಣ,കൃത്രിമ നിയന്ത്രണം
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,നിർമ്മിത ബുദ്ധി
ಆರೋಹಣ,ആരോഹണം
ಆರೋಹಣ ರೀತಿಯ,ആരോഹണ തരം
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII ബെറ്റിക്കൽ ഓർഡർ
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII നിയന്ത്രണ പ്രതീകം
ASCII ಫೈಲ್,ASCII ഫയൽ
ASCII ಫಾಂಟ್,ASCII ഫോണ്ട്
ASCII ವರ್ಗಾವಣೆ,ASCII കൈമാറ്റം
ಆಕಾರ ಅನುಪಾತ,വീക്ഷണാനുപാതം
ASPI,എ.എസ്.പി.ഐ
ASR ಟೈಮರ್,ASR ടൈമർ
ಜೋಡಿಸು,കൂട്ടിച്ചേർക്കുക
ಅಸೆಂಬ್ಲರ್,അസംബ്ലർ
ಸಭೆ,അസംബ്ലി
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,അസംബ്ലി ഭാഷ
ಪ್ರತಿಪಾದನೆ,അവകാശവാദം
ನಿಯೋಜನೆ,നിയമനം
ಸಂಘ,അസോസിയേഷൻ
ಸಹಾಯಕ ವಿಳಾಸ,അനുബന്ധ വിലാസം
ಸಹಾಯಕ ಸ್ಮರಣೆ,അനുബന്ധ മെമ്മറി
ಆಸ್ಟರಿಕ್,ആസ്റ്ററിക്
ಅಸಮ್ಮಿತ,അസമമായ
ಅಸಮಕಾಲಿಕ,അസമന്വിത
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,അസമന്വിത കൈമാറ്റം
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
ಪರಮಾಣು,ആറ്റം
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,അറ്റാച്ചുചെയ്ത പ്രമാണം
ಲಗತ್ತಿಸಲಾದ ಕಡತ,അറ്റാച്ചുചെയ്ത ഫയൽ
ಬಾಂಧವ್ಯ,ബന്ധം
ಗುಣಲಕ್ಷಣ,ആട്രിബ്യൂട്ട്
ಆಡಿಯೋ,ഓഡിയോ
ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്
ಆಡಿಟ್ ಟ್ರಯಲ್,ഓഡിറ്റ് ട്രയൽ
ವರ್ಧನೆ,വർദ്ധിപ്പിക്കൽ
ದೃಢೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,പ്രാമാണീകരണ പ്രോട്ടോക്കോൾ
ಲೇಖಕ ವ್ಯವಸ್ಥೆ,എഴുത്ത് സംവിധാനം
ಅಧಿಕಾರ,അംഗീകാരം
ಸ್ವಯಂ ಅಮೂರ್ತ,യാന്ത്രിക സംഗ്രഹം
ಸ್ವಯಂಬೂಟ್ ಮಾಡುವಿಕೆ,ഓട്ടോബൂട്ടിംഗ്
ಆಟೋಕ್ಯಾಡ್,ഓട്ടോകാഡ്
ಸ್ವಯಂ ಲಾಗ್ ಆನ್,ഓട്ടോലോഗ് ഓൺ
ಸ್ವಯಂಚಾಲಿತ,ഓട്ടോമാറ്റ
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,ഓട്ടോമാറ്റ സിദ്ധാന്തം
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟಿಂಗ್,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടിംഗ്
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,യാന്ത്രിക പിശക് തിരുത്തൽ
ಸ್ವಯಂಚಾಲಿತ ಕಾರ್ಯ,യാന്ത്രിക പ്രവർത്തനം
ಸ್ವಯಂಚಾಲಿತ ಸೂಚ್ಯಂಕ,ഓട്ടോമാറ്റിക് ഇൻഡെക്സിംഗ്
ಸ್ವಯಂಚಾಲಿತ ಲೈಬ್ರರಿ ಕರೆ,ഓട്ടോമാറ്റിക് ലൈബ്രറി കോൾ
ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്
ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ,യാന്ത്രിക വീണ്ടെടുക്കൽ പ്രോഗ്രാം
ಸ್ವಯಂಚಾಲಿತ ದಿನಚರಿ,യാന്ത്രിക ദിനചര്യ
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರ (ATM),ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീൻ (എടിഎം)
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,ഓട്ടോമേഷൻ
ಸ್ವಚಾಲಿತ,ഓട്ടോപ്ലേ
ಸ್ವಯಂ ಉಳಿಸಿ,സ്വയം സംരക്ഷിക്കുക
ಸಹಾಯಕ,സഹായകമായ
ಸಹಾಯಕ ಸ್ಮರಣೆ,സഹായ മെമ്മറി
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,സഹായ സംഭരണം
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,ലഭ്യമായ പട്ടിക
ಲಭ್ಯವಿರುವ ಸಮಯ,ലഭ്യമായ സമയം
ಸರಾಸರಿ,ശരാശരി
awk (ಭಾಷೆ),awk (ഭാഷ)
ಬ್ಯಾಕೆಂಡ್,പിൻഭാഗം
ಬ್ಯಾಕೆಂಡ್ ಪ್ರೊಸೆಸರ್,ബാക്കെൻഡ് പ്രോസസർ
ಹಿಂಬದಿ ತೆಗೆಯುವಿಕೆ,ബാക്ക്ഫേസ് നീക്കം
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,പശ്ചാത്തല പ്രോസസ്സിംഗ്
ಬ್ಯಾಕಿಂಗ್ ಅಂಗಡಿ,ബാക്കിംഗ് സ്റ്റോർ
ಬ್ಯಾಕ್‌ಪ್ಯಾಚಿಂಗ್,ബാക്ക്പാച്ചിംഗ്
ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್,ബാക്ക്സ്പേസ്
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,ബാക്ക്ട്രാക്കിംഗ്
ಬ್ಯಾಕ್ ಅಪ್,ബാക്ക്-അപ്പ്
ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ,ബാക്കപ്പ് മെമ്മറി
ಹಿಂದುಳಿದ ದೋಷ ಚೇತರಿಕೆ,പിന്നോട്ട് പിശക് വീണ്ടെടുക്കൽ
ಆಯವ್ಯಯ ಪಟ್ಟಿ,ബാലൻസ് ഷീറ്റ്
ಬ್ಯಾಂಡ್,ബാൻഡ്
ಬ್ಯಾಂಡ್ ಅಗಲ,ബാൻഡ് വീതി
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,ബാങ്കറുടെ അൽഗോരിതം
ಬಾರ್ ಕೋಡ್,ബാർ കോഡ്
ಬಾರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,ബാർ കോഡ് സ്കാനർ
ಬಾರ್ ಗ್ರಾಫ್,ബാർ ഗ്രാഫ്
ಮೂಲ ವಿಳಾಸ,അടിസ്ഥാന വിലാസം
ಬೇಸ್ ಬ್ಯಾಂಡ್,അടിസ്ഥാന ബാൻഡ്
ಮೂಲ ಸಂಖ್ಯೆ,അടിസ്ഥാന നമ്പർ
ಬೇಸ್ ಟೇಬಲ್,അടിസ്ഥാന പട്ടിക
ಬೇಸಿಕ್,അടിസ്ഥാനം
ಮೂಲ ನಿಯಂತ್ರಣ,അടിസ്ഥാന നിയന്ത്രണം
ಮೂಲ ಇನ್ಪುಟ್,അടിസ്ഥാന ഇൻപുട്ട്
ಮೂಲ ಸೂಚನೆ,അടിസ്ഥാന നിർദ്ദേശം
ಮೂಲ ಔಟ್ಪುಟ್,അടിസ്ഥാന ഔട്ട്പുട്ട്
ಮೂಲ ಹಂತ,അടിസ്ഥാന ഘട്ടം
ಬ್ಯಾಚ್,ബാച്ച്
ಬ್ಯಾಚ್ ಫೈಲ್,ബാച്ച് ഫയൽ
ಬ್ಯಾಚ್ ಸ್ಥಾನ,ബാച്ച് സ്ഥാനം
ಬ್ಯಾಚ್ ಸಂಸ್ಕರಣೆ,ബാച്ച് പ്രോസസ്സിംഗ്
ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ,ബാച്ച് സിസ്റ്റം
ಬಾಡ್,ബൗഡ്
ಬೌಡ್ ದರ,ബാഡ് നിരക്ക്
ಕಿರಣ,ബീം
ಮಾನದಂಡ,ബെഞ്ച്മാർക്ക്
ದ್ವಿಮುಖ ಸಂವಹನ,ദ്വിദിശ ആശയവിനിമയം
ದ್ವಿಮುಖ ಲಿಂಕ್,ദ്വിദിശ ലിങ്ക്
ಬೈನರಿ ಕೋಡ್,ബൈനറി കോഡ്
ದ್ವಿಮಾನ ಅಂಕಿ,ബൈനറി അക്കം
ಬೈನರಿ ಇನ್‌ಪುಟ್ ಔಟ್‌ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS),ബൈനറി ഇൻപുട്ട് ഔട്ട്പുട്ട് സിസ്റ്റം (BIOS)
ಬೈನರಿ ಸಂಖ್ಯೆ,ബൈനറി നമ്പർ
ಬೈನರಿ ಆಪರೇಟರ್,ബൈനറി ഓപ്പറേറ്റർ
ದ್ವಿಮಾನ ಸಂಬಂಧ,ബൈനറി ബന്ധം
ಬೈನರಿ ಹುಡುಕಾಟ,ബൈനറി തിരയൽ
ಬೈನರಿ ಸರ್ಚ್ ಟ್ರೀ (BST),ബൈനറി സെർച്ച് ട്രീ (BST)
ಬೈನರಿ ವರ್ಗಾವಣೆ,ബൈനറി കൈമാറ്റം
ಅವಳಿ ಮರ,ബൈനറി മരം
ಬೈಪೋಲಾರ್ ಮೆಮೊರಿ,ബൈപോളാർ മെമ്മറി
ಜನನ ಮರಣ ಮಾದರಿ,ജനന മരണ മാതൃക
ಜನನ ಮರಣ ಪ್ರಕ್ರಿಯೆ,ജനന മരണ പ്രക്രിയ
ಸ್ವಲ್ಪ,ബിറ്റ്
ಸ್ವಲ್ಪ ತಪ್ಪು,ചെറിയ തെറ്റ്
ಬಿಟ್ ನಕ್ಷೆ,ബിറ്റ് മാപ്പ്
ಬಿಟ್ ಮ್ಯಾಪ್ ಪಿಕ್ಸೆಲ್ (BMP),ബിറ്റ് മാപ്പ് പിക്സൽ (BMP)
ಬಿಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ബിറ്റ് മാട്രിക്സ്
ಬಿಟ್ ಮಾದರಿ,ബിറ്റ് പാറ്റേൺ
ಬಿಟ್ ಸ್ಥಾನ,ബിറ്റ് സ്ഥാനം
ಬಿಟ್ ದರ,ബിറ്റ് നിരക്ക്
ಕಪ್ಪು ಪೆಟ್ಟಿಗೆ ಪರೀಕ್ಷೆ,ബ്ലാക്ക് ബോക്സ് പരിശോധന
ಮಿಟುಕಿಸುವುದು,മിന്നിമറയുന്നു
ಬ್ಲಾಕ್,തടയുക
ಬ್ಲಾಕ್ ಸಂಗ್ರಹ,കാഷെ തടയുക
ಬ್ಲಾಕ್ ಚೆಕ್,ബ്ലോക്ക് ചെക്ക്
ಬ್ಲಾಕ್ ನಕಲು,ബ്ലോക്ക് കോപ്പി
ಬ್ಲಾಕ್ ರೇಖಾಚಿತ್ರ,ബ്ലോക്ക് ഡയഗ്രം
