Odiya,English
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,Abbey of Westminster
ଅବକ୍ଷୟ,Abditory
ଦାସତ୍ୱ ରଦ୍ଦ,Abolition of slavery
ଆଦିବାସୀ,Aboriginal
ଅବ୍ରହାମ ଏରା,Abraham Era
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,Absentee landlords
ଏକାଡେମୀ |,Academy
ଆକ୍ରା ସମ୍ମିଳନୀ |,Accra conference
ଆକ୍ରୁଏଲ୍ |,Accruals
ଆକଲଚ୍ୟୁଚର୍,Acculturation
ଆକେଲଡାମା |,Aceldama
ଆଖିଆନ୍ (= ଆଚିଆନ୍),Achaean (=Achian)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),Achaean League (=Achian League)
ଆକ୍ରୋପଲିସ୍ |,Acropolis
ଆକ୍ଟା ଡିଆର୍ନା |,Acta Diurna
ଆକ୍ଟା ସେନାଟସ୍ |,Acta Senatus
ଆକ୍ଟ ଆଡେଲ୍ |,Acte Additionel
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),Active record (=current record)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,Act of attainder
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,Act of Indemnity and oblivion
ସମାଧାନ ନିୟମ,Act of Settlement
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,Ad contractus seal
ଆଡୁଲାମାଇଟ୍ସ |,Adullamites
ଶତ୍ରୁ,Adversary
ଶତ୍ରୁ,Adversary
ଆଓନ୍,Aeon
ଏରାରିୟମ୍ |,Aerarium
ବାୟୁ ଯୁଦ୍ଧ |,Aerial warfare
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,Aetolian League
ବୟସ,Age
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),Ageing (=aging)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,Ageing process
ଆଗେଲାଇ |,Agelai
Ival ିଭାଲିର ବୟସ |,Age of chivalry
ଜ୍ଞାନର ବୟସ |,Age of Englightment
ପେରିକଲ୍ସର ବୟସ |,Age of Pericles
କାରଣର ବୟସ |,Age of reason
କୃଷିବାଦ,Agrarianism
କୃଷି ଆନ୍ଦୋଳନ |,Agrarian movement
ଆଲବିଅନ୍ |,Albion
ଆଲବମ୍,Album
ଆଲଡରମ୍ୟାନ୍ |,Alderman
ଭ୍ରାନ୍ତ ବାହୁ |,Allusive arms
ବନ୍ଧୁତା,Amity
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,Amphictyonic Council
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,Amphictyonic League
ଆମ୍ଫିଥେଟର,Amphitheatre
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),Amri Nal group (of pottery)
ଆନାକ୍ରୋନିଜିମ୍ |,Anachronism
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,Anachronistic
ପୂର୍ବପୁରୁଷ,Ancestor
ପୂର୍ବପୁରୁଷ ପୂଜା |,Ancestor Worship
ପିତୃପୁରୁଷ,Ancestry
ପିତୃପୁରୁଷ,Ancestry
ପିତୃପୁରୁଷ,Ancestry
ପିତୃପୁରୁଷ,Ancestry
ପ୍ରାଚୀନ ଶାସନ,Ancien regime
ପ୍ରାଚୀନ,Ancient
ପ୍ରାଚୀନ ବାଲାଡ୍ |,Ancient ballad
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,Ancient belief
ପ୍ରାଚୀନ ପ୍ରଥା,Ancient custom
ପ୍ରାଚୀନ ଇତିହାସ,Ancient history
ପ୍ରାଚୀନ ସ୍ମାରକୀ,Ancient monuments
ଉପନ୍ୟାସ,Anecdote
ଆଞ୍ଜେଲଟ୍ |,Angelot
ଆଞ୍ଜେଲସ୍ |,Angelus
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),Angevin (=anjevin)
କୋଣ,Angles
ଅଙ୍ଗଲିକାନ୍ |,Anglican
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,Anglican Communion
ଅଙ୍ଗଲିକାନିଜିମ୍ |,Anglicanism
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,Anglo-phobe
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,Anglo-phobia
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,Anglo-Saxon
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,Anglo-Saxonism
ଆନ୍ନାଲିଷ୍ଟ |,Annalist
ବାର୍ଷିକ,Annals
ସଂଲଗ୍ନ,Annexation
ଆଣ୍ଟେ-ବେଲମ୍ |,Ante-bellum
ଆଣ୍ଟେ ତାରିଖ |,Ante date
ଧର୍ମ-ବିରୋଧୀ,Anti-clericalism
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,Anti-clerical legislation
ପ୍ରାଚୀନତା,Antiquity
ଆଣ୍ଟି-ଭଡା,Anti-rent
ଆଣ୍ଟି-ଭଡା,Anti-rent
ବିରୋଧୀ ଦଳ,Anti Semitism
ଅଞ୍ଜାକ |,Anzac
ଆପେଲା |,Apella
ଅରୁଲୁ |,Aralu
ଆର୍ ବିଶପ୍ |,Arch bishop
ଆର୍ ଡୁଚି |,Arch duchy
ଆର୍ ଡ୍ୟୁକ୍ |,Arch duke
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),Archief (=archival collection)
ଆର୍କିପିସ୍କୋପେଟ୍ |,Archiepiscopate
ଆଭିମୁଖ୍ୟ,Aristocracy
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,Aristocrat
ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |,Aristocratic snobbery
ଆରିଷ୍ଟୋଟେଲିଆନ୍ |,Aristotelian
ଆର୍ମଡା |,Armada
ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା),Armada (=The Spanish Armada)
ବାହୁବଳୀ (= ବାହୁବଳୀ),Armorist (=armourist)
ବାହୁବଳୀ (= ବାହୁବଳୀ),Armour (=armor)
ବାହୁବଳୀ |,Armourist
ଆର୍ଯ୍ୟନ୍,Aryan
ଆର୍ଯ୍ୟନ୍,Aryan
ଆସ୍କାରି |,Askari
ନ୍ୟସ୍ତ କରନ୍ତୁ |,Assignat
Assize,Assize
Assize,Assize
Assize,Assize
ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |,Assize of Arms Act
ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |,Assize of Darrein Presentment
ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |,Assize of Mort 'D' Ancestor
ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |,Assize of Novel Disseisin
ଅତ୍ୟାଚାର,Atrocity
ଆକ୍ରମଣ,Attack
ଆୟୁଲିକ୍ ପରିଷଦ |,Aulic Council
ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି),Axe of the Geddess (=the Geddess axe)
ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍),Axis (=The Rome-Berlin-Tokyo Axis)
ବାବିଲ,Babylon
ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ),Babylonian captivity (=Babylonish captivity)
ବ୍ୟାଚାନାଲ ଭକ୍ତ,Bacchanal devotee
ବ୍ୟାଚାନାଲିଆ |,Bacchanalia
ଅବିବାହିତ,Bachelor
ବାଗଦାଦ ଚୁକ୍ତି |,Baghdad Pact
ବାଲକାନ୍ ଲିଗ୍ |,Balkan League
ବାଲକାନ୍ ଚୁକ୍ତି |,Balkan Pact
ବାଲକାନ ଯୁଦ୍ଧ |,Balkan Wars
ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |,Baltic Pact
ବୃନ୍ଦାବନ,Bandit
ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |,Bandung Conference
ବହିଷ୍କାର |,Banishment
ବ୍ୟାନର |,Banner
ବର୍ବର,Barbarian
ବାର୍ବିକାନ୍ |,Barbican
ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |,Bardoli satyagraha
ବାର୍ ବର୍ନର୍ସ |,Barn Burners
ବରୁଣ |,Baron
ବରୁଣ,Baronage
ବାରୋନସ୍ ମେଜୋରସ୍ |,Barones majores
ବାରୋନସ୍ ମାଇନୋରସ୍ |,Barones minores
ବରୁଣେସ୍ |,Baroness
ବରୁଣେଟ୍ |,Baronet
ବରୁଣେଟେଜ୍ |,Baronetage
ବରୁଣେଟେଜ୍ |,Baronetage
ବାରୋନେଟସି |,Baronetcy
ବାରୋନି |,Barony
ବାରାକୁନ୍ |,Barracoon
ବାରାକୁନ୍ |,Barracoon
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),Barricade (=barricado)
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),Barricade (=barricado)
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),Barricade (=barricado)
ବେସ୍ କ୍ୟାମ୍ପ୍ |,Base camp
ବେସିଲିକା |,Basilica
ବେସିଲିକା |,Basilica
ବସ୍ତିଲା |,Bastila
ବସ୍ତିଲ୍ |,Bastille
ବସ୍ତିଲ୍ |,Bastille
ବ୍ୟାଟେରୀ,Battery
ଯୁଦ୍ଧ,Battle
ବଟଲ୍-ଆରେ |,Batlle-array
ଯୁଦ୍ଧ କାନ୍ଦ |,Battle cry
ଯୁଦ୍ଧ ଡିନ |,Battle din
ଯୁଦ୍ଧ କ୍ଷେତ୍ର |,Battle field
ଯୁଦ୍ଧ ଭଜନ,Battle hymn
ସ୍ପର୍ସର ଯୁଦ୍ଧ |,Battle of the Spurs
ମାନାଙ୍କ ଯୁଦ୍ଧ |,Battle of the Standard
ଯୁଦ୍ଧ ଜାହାଜ |,Battleship
ଯୁଦ୍ଧ-ଶକ୍ତି |,Battleship-strength
ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |,Bayeux tapestry
ବିକନ୍ |,Beacon
ବିକନ୍ ଟାୱାର୍ |,Beacon tower
ବିଭର୍ |,Beaver
ବିଭର୍ |,Beaver
ସମୁଦ୍ରର ଭିକାରୀ |,Beggars of the sea
ବେଲିକୋଜ୍ |,Bellicose
ବେଲିକୋଜ୍ |,Bellicose
ବେଲିକୋଜ୍ |,Bellicose
ବେଲିକୋସିଟି |,Bellicosity
ବେଲୋନା |,Bellona
ଉପକାର,Benefice
ପାଦ୍ରୀମାନଙ୍କର ଲାଭ,Benefit of clergy
ବେନେଲକ୍ସ |,Benelux
ବର୍ଲିନ୍ ଆଦେଶ |,Berlin Decree
ବର୍ସରକର |,Berserker
ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ),Besant (=bezant)
ବ Bethel ଥେଲ୍ |,Bethel
Bibliolater,Bibliolater
ଗ୍ରନ୍ଥସମୂହ,Bibliolatry
ବିଗ୍ ବର୍ଥା |,Big Bertha
ବିଗଟ୍ |,Bigot
ବିଲିଂ,Billeting
ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |,Bill of Attainder
ଅଧିକାର ବିଲ୍ |,Bill of Rights
ଜୀବନୀ,Biographer
ଜନ୍ମ କାହାଣୀ |,Birth stories
ବିଭିଆକ୍ |,Bivouac
ବିଭିଆକ୍ |,Bivouac
ବିଭିଆକ୍ |,Bivouac
ବିଜୋନିଆ |,Bizonia
କଳା ପକ୍ଷୀ,Black birding
କଳା ପତାକା,Black flag
ବ୍ଲାକ୍ ହୋଲ୍ |,Black Hole
ବ୍ଲାକ୍ ହୋଲ୍ |,Black Hole
କଳା ଗୋଡ (= ସ୍କାବ),Black leg (=scab)
କଳା ସାର୍ଟ |,Black Shirt
ବ୍ଲାଜନ୍,Blazon
ବ୍ଲାଜନ୍,Blazon
ବ୍ଲାଜୋନ୍ରି |,Blazonry
ବ୍ଲାଜୋନ୍ରି |,Blazonry
ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |,Blitzkrieg
ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ),Bloodless Revolution (=Glorious Revolution)
ରକ୍ତଚାପ,Bloodwite
ରକ୍ତାକ୍ତ ମରିୟମ |,Bloody Mary
ନୀଳ,Blue
ନୀଳ ରକ୍ତ,Blue blood
ନୀଳ ପୁସ୍ତକ |,Blue book
ନୀଳ ରିବନ୍ |,Blue ribbon
ନୀଳ ରିବନ୍ |,Blue ribbon
ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ),Blues (=Royal Horse Guards)
ନୀଳ ସାର୍ଟ |,Blue Shirt
ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |,Blue Water School
ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |,Board of Control
ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |,Body armour
ବୋଇର୍,Boer
ବୁଟି,Booty
ବୋରୱୋ |,Borough
ବୁଲୁଟେରିଅନ୍ |,Bouleuterion
ବୋର୍ବନ୍ |,Bourbon
ବକ୍ସର ବିଦ୍ରୋହ |,Boxer rebellion
ବନ୍ଧନୀ,Brace
ପିତ୍ତଳ |,Brassard
ପିତ୍ତଳ |,Brassard
ରୁଟି କଲୋନୀ |,Bread colonies
ସ୍ତନ ପ୍ଲେଟ୍ |,Breast Plate
ସ୍ତନ କାମ,Breast work
ବ୍ରେଟୱାଲଡା |,Bretwalda
ବ୍ରିଗାଣ୍ଡ୍ |,Brigand
ବ୍ରିଗେଣ୍ଡେଜ୍,Brigandage
ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |,British Commonwealth of Nations
ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି),Brown Shirts (=The Nazis)
ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍),Brussels Treaty (Pact) organisation (=Western Europeon union)
ବଫ୍ |,Buff
ବଫ୍ |,Buff
ବଫ୍-କୋଟ୍ |,Buff-coat
ବଫସ୍ |,Buffs
ବୁଲେ (= ପରିଷଦ),Bule (=council)
ବନ୍ଧକ,Burgage
ବରଗଡ |,Burgess
ବାଇଜାଣ୍ଟାଇନ,Byzantine
ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ,Byzantine church
ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |,Byzantine Empire
ବାଇଜାଣ୍ଟାଇନ ଯୁଗ,Byzantine Era
ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |,Byzantine historians
କ୍ୟାବଲ୍ |,Cabal
କେଜରିଜିମ୍ |,Caesarism
ଖଲିଫ୍ |,Caliph
କଲିଗ୍ରାଫର୍ |,Calligrapher
କଲିଗ୍ରାଫିଷ୍ଟ |,Calligraphist
କାଲିଗ୍ରାଫି |,Calligraphy
କାଲ୍ଟ୍ରପ୍ |,Caltrop
କାମାଡେରି |,Camaraderie
କାମାରିଲା |,Camarilla
କାମାରିଲା |,Camarilla
କାମେଲାକମ୍ |,Camelaucum
କାମୁଫ୍ଲେଜ୍ |,Camouflage
ଅଭିଯାନ |,Campaign
କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |,Camp follower
କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |,Campo santo
କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍,Campus martius
କାନେଫୋରା |,Canephora
କଙ୍ଗୁ,Cangue
କାନନେଡ୍ |,Cannonade
ତୋପ ଖାଇବା |,Cannon fodder
କାନନ୍ |,Canon
କାନନ୍ ନିୟମ |,Canon law
କାନୋପସ୍ ଆଦେଶ |,Canopus decree
ବାହୁବଳୀ,Canting arms
ବନ୍ଦୀ,Captive
କ୍ୟାପ୍ଟର,Captor
କାର୍ଡିନାଲ୍ |,Cardinal
କାର୍ଲ |,Carl
କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |,Carolingian dynasty
କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |,Carthusian sect
କାର୍ଟୋସା |,Cartosa
କାଷ୍ଟେଲିଆନ୍ |,Castelian
କାଷ୍ଟେଲିଆନ୍ |,Castelian
ଜାତି ପ୍ରଣାଳୀ |,Caste system
ଦୁର୍ଗ,Castle
ଦୁର୍ଗ,Castle
ଦୁର୍ଗ ସହର,Castle town
କାଷ୍ଟ୍ରା |,Castra
କାଷ୍ଟ୍ରା |,Castra
କ୍ୟାଥେଡ୍ରା |,Cathedra
କ୍ୟାଥେଡ୍ରାଲ୍ |,Cathedral
କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |,Cato Street conspiracy
କାଉଡିଲୋ |,Caudillo
କାଭାଲିଅର୍ |,Cavalier
କାଭାଲିଅର୍ |,Cavalier
କାଭାଲିଅର୍ ସଂସଦ |,Cavalier Parliament
ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |,Cave of Adullam
ଗୁମ୍ଫା ଚିତ୍ର,Cave painting
ଗୁମ୍ଫା ଚିତ୍ର,Cave painting
Centumvir,Centumvir
ସେଞ୍ଚୁରିଅନ୍ |,Centurion
ଶତାବ୍ଦୀ,Century
ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍),Chain armour (=chain mail)
ଚାନ୍ଟ୍ରି |,Chantry
ଚାନ୍ଟ୍ରି |,Chantry
ଅଧ୍ୟାୟ ପୁସ୍ତକ,Chap book
ଚାପଲେନ୍ |,Chaplain
ଅଧ୍ୟାୟ,Chapter
ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |,Chapter of accidents
ଚାର୍ଜ,Charge
ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |,Charge d'affaires
ଚାର୍ଜ ବିଭାଜନ |,Charge parting
ଚାର୍ଜର,Charger
ରଥ,Chariot
ରଥ,Charioteer
ରଥ,Charioteer
ରଥ,Charioteer
ଚାରିଟି ରୋଷେଇ ଘର |,Charity kitchen
ଚାର୍ଟର୍,Charter
ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍),Chartist Movement (=Chartism)
ଚାର୍ଟୋଫିଲାସିୟମ୍ |,Chartophylacium
Chateau |,Chateau
ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |,Check post
ରାସାୟନିକ ଯୁଦ୍ଧ |,Chemical Warfare
ଚେଷ୍ଟର୍ |,Chester
ମୁଖ୍ୟ,Chief
ମୁଖିଆ,Chieftain
ମୁଖିଆ,Chieftain
ମୁଖିଆ,Chieftain
ଚିଫନ୍ |,Chiffon
ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |,Chivalry
ମନୋନୀତ ଲୋକ,Chosen People
କ୍ରିସମୋଗ୍ରାଫିନ୍ |,Chrismographion
ଖ୍ରୀଷ୍ଟଧର୍ମ,Christendom
ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |,Christian era
ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |,Christian Socialism
ଇତିହାସ,Chronicle
କ୍ରୋନିକଲର୍,Chronicler
କ୍ରିସ୍ ଚେରସୋନିସ୍ |,Chryse Chersonese
ସିମେଲିୟମ୍ |,Cimelium
ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |,Cinquecento Style
ସର୍କୁନାଭିଗେସନ୍ |,Circumnavigation
ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |,Cistercian monk
ସୀତା,Citadel
ଉଦ୍ଧୃତ,Citation
ଉଦ୍ଧୃତ,Citation
ନାଗରିକ ଅବମାନନା |,Civil disobedience
ଗୃହଯୁଦ୍ଧ |,Civil war
